global_day,month,cycle,variant,day_in_variant,day_type,meal_count,egg_equivalent_units,dairy_meals,pasta_rice_primary_meals,plant_protein_main_meals,energy_kcal,energy_reference_kcal,energy_delta_kcal,energy_delta_pct,direct_hard_failures,direct_soft_warnings,hard_windows_touching,hard_kinds_touching,soft_windows_touching,recipe_repeat_warnings,high_recipe_repeat_warnings,off_season_occurrences,review_score
1,Settembre,1,1,1,D1,5,6.8,4,0,0,1618.6,1612.0,6.6,0.0041,"[""cheese_dairy_day""]","[""egg_daily_spread""]",1,"{""cheese_dairy_window"": 1, ""egg_equivalent"": 1, ""pasta_rice"": 1, ""plant_protein_main"": 1}",1,0,0,0,153
2,Settembre,1,1,2,D2,6,2.0,2,0,0,1707.7,1709.0,-1.3,-0.0008,"[""cheese_dairy_day""]",[],2,"{""cheese_dairy_window"": 2, ""egg_equivalent"": 2, ""pasta_rice"": 2, ""plant_protein_main"": 2}",2,0,0,0,162
3,Settembre,1,1,3,D3,3,8.4,0,0,0,1457.8,1467.0,-9.2,-0.0063,[],"[""egg_daily_spread""]",3,"{""cheese_dairy_window"": 3, ""egg_equivalent"": 3, ""pasta_rice"": 3, ""plant_protein_main"": 3}",3,0,0,0,107
4,Settembre,1,1,4,D4,5,0.0,3,1,0,1632.6,1614.0,18.6,0.0115,"[""cheese_dairy_day""]",[],4,"{""cheese_dairy_window"": 4, ""egg_equivalent"": 4, ""pasta_rice"": 4, ""plant_protein_main"": 4}",4,0,0,0,196
5,Settembre,1,1,5,D5,5,0.0,2,0,0,1609.1,1626.0,-16.9,-0.0104,"[""cheese_dairy_day""]",[],5,"{""cheese_dairy_window"": 5, ""egg_equivalent"": 5, ""pasta_rice"": 5, ""plant_protein_main"": 5}",5,0,0,0,213
6,Settembre,1,2,1,D1,5,1.0,0,0,0,1612.4,1612.0,0.4,0.0002,[],[],6,"{""cheese_dairy_window"": 6, ""egg_equivalent"": 6, ""pasta_rice"": 6, ""plant_protein_main"": 6}",6,1,1,0,158
7,Settembre,1,2,2,D2,6,2.0,1,2,0,1710.8,1709.0,1.8,0.0011,[],[],7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""pasta_rice"": 7, ""plant_protein_main"": 7}",7,2,0,0,173
8,Settembre,1,2,3,D3,3,5.6,1,0,0,1463.7,1467.0,-3.3,-0.0022,[],"[""egg_daily_spread""]",7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""pasta_rice"": 7, ""plant_protein_main"": 7}",7,1,0,0,178
9,Settembre,1,2,4,D4,5,3.6,2,1,0,1621.1,1614.0,7.1,0.0044,"[""cheese_dairy_day""]","[""egg_daily_spread""]",7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""pasta_rice"": 7, ""plant_protein_main"": 7}",7,1,0,0,258
10,Settembre,1,2,5,D5,5,1.6,0,0,0,1650.5,1626.0,24.5,0.0151,[],[],7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""pasta_rice"": 7, ""plant_protein_main"": 7}",7,0,0,0,167
11,Settembre,1,3,1,D1,5,0.0,2,1,0,1621.4,1612.0,9.4,0.0058,"[""cheese_dairy_day""]",[],7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""pasta_rice"": 6, ""plant_protein_main"": 7}",7,3,0,0,252
12,Settembre,1,3,2,D2,6,1.0,3,0,0,1709.3,1709.0,0.3,0.0002,"[""cheese_dairy_day""]",[],7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""pasta_rice"": 6, ""plant_protein_main"": 7}",7,3,0,0,252
13,Settembre,1,3,3,D3,3,4.2,1,0,0,1454.7,1467.0,-12.3,-0.0084,[],"[""egg_daily_spread""]",7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""pasta_rice"": 5, ""plant_protein_main"": 7}",7,1,0,0,170
14,Settembre,1,3,4,D4,5,2.0,4,1,0,1605.5,1614.0,-8.5,-0.0053,"[""cheese_dairy_day""]",[],7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""pasta_rice"": 4, ""plant_protein_main"": 7}",7,1,0,0,238
15,Settembre,1,3,5,D5,5,8.0,3,1,0,1624.0,1626.0,-2.0,-0.0012,"[""cheese_dairy_day""]","[""egg_daily_spread""]",7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""pasta_rice"": 3, ""plant_protein_main"": 7}",7,1,0,0,242
16,Settembre,1,4,1,D1,5,3.2,5,0,0,1612.1,1612.0,0.1,0.0001,"[""cheese_dairy_day""]","[""egg_daily_spread""]",7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""pasta_rice"": 2, ""plant_protein_main"": 7}",7,2,1,0,246
17,Settembre,1,4,2,D2,6,3.2,5,2,0,1704.9,1709.0,-4.1,-0.0024,"[""cheese_dairy_day""]","[""egg_daily_spread""]",7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""pasta_rice"": 1, ""plant_protein_main"": 7}",7,2,0,0,237
18,Settembre,1,4,3,D3,3,1.6,1,0,0,1469.1,1467.0,2.1,0.0014,[],[],7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""pasta_rice"": 1, ""plant_protein_main"": 7}",7,1,0,0,146
19,Settembre,1,4,4,D4,5,1.0,2,1,0,1565.9,1614.0,-48.1,-0.0298,"[""cheese_dairy_day""]",[],7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""plant_protein_main"": 7}",7,0,0,0,207
20,Settembre,1,4,5,D5,5,1.6,0,1,0,1673.7,1626.0,47.7,0.0293,[],[],7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""plant_protein_main"": 7}",7,0,0,0,127
21,Settembre,1,5,1,D1,5,7.6,3,1,0,1620.4,1612.0,8.4,0.0052,"[""cheese_dairy_day""]","[""egg_daily_spread""]",7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""plant_protein_main"": 7}",7,4,0,0,227
22,Settembre,1,5,2,D2,6,4.6,3,0,0,1704.6,1709.0,-4.4,-0.0026,"[""cheese_dairy_day""]","[""egg_daily_spread""]",7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""plant_protein_main"": 7}",7,2,0,0,221
23,Settembre,1,5,3,D3,3,5.6,2,1,0,1458.8,1467.0,-8.2,-0.0056,"[""cheese_dairy_day""]","[""egg_daily_spread""]",7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""plant_protein_main"": 7}",7,1,0,0,218
24,Settembre,1,5,4,D4,5,1.6,2,1,0,1608.0,1614.0,-6.0,-0.0037,"[""cheese_dairy_day""]",[],7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""plant_protein_main"": 7}",7,1,0,0,210
25,Settembre,1,5,5,D5,5,3.6,3,1,0,1611.2,1626.0,-14.8,-0.0091,"[""cheese_dairy_day""]","[""egg_daily_spread""]",7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""plant_protein_main"": 7}",7,1,0,0,218
26,Settembre,1,6,1,D1,5,7.6,3,0,0,1611.6,1612.0,-0.4,-0.0002,"[""cheese_dairy_day""]","[""egg_daily_spread""]",7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""plant_protein_main"": 7}",7,2,1,0,226
27,Settembre,1,6,2,D2,6,3.6,1,1,0,1711.4,1709.0,2.4,0.0014,[],"[""egg_daily_spread""]",7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""plant_protein_main"": 7}",7,1,0,0,138
28,Settembre,1,6,3,D3,3,4.8,1,1,0,1464.4,1467.0,-2.6,-0.0018,[],"[""egg_daily_spread""]",7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""plant_protein_main"": 7}",7,1,0,0,138
29,Settembre,1,6,4,D4,5,4.2,1,2,0,1613.6,1614.0,-0.4,-0.0002,[],"[""egg_daily_spread""]",7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""plant_protein_main"": 7}",7,1,0,0,138
30,Settembre,1,6,5,D5,5,1.6,1,0,0,1647.4,1626.0,21.4,0.0132,[],[],7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""plant_protein_main"": 7}",7,0,0,0,127
31,Ottobre,2,1,1,D1,5,6.8,2,1,0,1608.6,1612.0,-3.4,-0.0021,"[""cheese_dairy_day""]","[""egg_daily_spread""]",7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""plant_protein_main"": 7}",7,0,0,0,215
32,Ottobre,2,1,2,D2,6,0.0,4,0,0,1711.5,1709.0,2.5,0.0015,"[""cheese_dairy_day""]",[],7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""plant_protein_main"": 7}",7,2,0,0,213
33,Ottobre,2,1,3,D3,3,6.8,1,1,0,1470.2,1467.0,3.2,0.0022,[],"[""egg_daily_spread""]",7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""plant_protein_main"": 7}",7,1,0,0,138
34,Ottobre,2,1,4,D4,5,3.6,2,2,0,1620.5,1614.0,6.5,0.004,"[""cheese_dairy_day""]","[""egg_daily_spread""]",7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""plant_protein_main"": 7}",7,0,0,1,218
35,Ottobre,2,1,5,D5,5,0.0,3,1,0,1620.2,1626.0,-5.8,-0.0036,"[""cheese_dairy_day""]",[],7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""plant_protein_main"": 7}",7,0,0,0,207
36,Ottobre,2,2,1,D1,5,2.0,1,2,0,1602.9,1612.0,-9.1,-0.0056,[],[],7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""plant_protein_main"": 7}",7,1,1,0,135
37,Ottobre,2,2,2,D2,6,1.0,3,0,0,1703.1,1709.0,-5.9,-0.0035,"[""cheese_dairy_day""]",[],7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""plant_protein_main"": 7}",7,2,0,0,213
38,Ottobre,2,2,3,D3,3,0.6,1,1,0,1466.5,1467.0,-0.5,-0.0003,[],[],7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""plant_protein_main"": 7}",7,1,0,0,130
39,Ottobre,2,2,4,D4,5,3.6,2,1,0,1623.9,1614.0,9.9,0.0061,"[""cheese_dairy_day""]","[""egg_daily_spread""]",7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""plant_protein_main"": 7}",7,1,0,1,221
40,Ottobre,2,2,5,D5,5,0.0,2,1,0,1642.9,1626.0,16.9,0.0104,"[""cheese_dairy_day""]",[],7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""plant_protein_main"": 7}",7,0,0,0,207
41,Ottobre,2,3,1,D1,5,0.0,3,2,0,1562.8,1612.0,-49.2,-0.0305,"[""cheese_dairy_day""]",[],7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""plant_protein_main"": 7}",7,3,0,0,216
