global_day,month,cycle,variant,day_in_variant,day_type,review_score,direct_hard_failures,direct_soft_warnings,hard_windows_touching,hard_kinds_touching,recipe_repeat_warnings,high_recipe_repeat_warnings,off_season_occurrences,egg_equivalent_units,dairy_meals,pasta_rice_primary_meals,plant_protein_main_meals,energy_kcal
9,Settembre,1,2,4,D4,258,"[""cheese_dairy_day""]","[""egg_daily_spread""]",7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""pasta_rice"": 7, ""plant_protein_main"": 7}",1,0,0,3.6,2,1,0,1621.1
66,Novembre,3,2,1,D1,258,"[""cheese_dairy_day""]",[],7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""pasta_rice"": 7, ""plant_protein_main"": 7}",1,1,1,0.0,2,0,0,1608.5
153,Febbraio,6,1,3,D3,257,"[""cheese_dairy_day""]","[""egg_daily_spread""]",7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""pasta_rice"": 6, ""plant_protein_main"": 7}",1,0,1,5.2,2,0,0,1471.0
147,Gennaio,5,6,2,D2,256,"[""cheese_dairy_day""]","[""egg_daily_spread""]",7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""pasta_rice"": 5, ""plant_protein_main"": 7}",1,0,2,3.6,4,0,0,1713.5
51,Ottobre,2,5,1,D1,255,"[""cheese_dairy_day""]","[""egg_daily_spread""]",7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""pasta_rice"": 4, ""plant_protein_main"": 7}",4,0,0,6.2,2,1,0,1615.6
69,Novembre,3,2,4,D4,254,"[""cheese_dairy_day""]","[""egg_daily_spread""]",7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""pasta_rice"": 6, ""plant_protein_main"": 7}",1,0,0,3.6,2,0,0,1624.1
151,Febbraio,6,1,1,D1,254,"[""cheese_dairy_day""]","[""egg_daily_spread""]",7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""pasta_rice"": 6, ""plant_protein_main"": 7}",1,0,0,6.8,2,0,0,1602.3
11,Settembre,1,3,1,D1,252,"[""cheese_dairy_day""]",[],7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""pasta_rice"": 6, ""plant_protein_main"": 7}",3,0,0,0.0,2,1,0,1621.4
12,Settembre,1,3,2,D2,252,"[""cheese_dairy_day""]",[],7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""pasta_rice"": 6, ""plant_protein_main"": 7}",3,0,0,1.0,3,0,0,1709.3
152,Febbraio,6,1,2,D2,252,"[""cheese_dairy_day""]",[],7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""pasta_rice"": 6, ""plant_protein_main"": 7}",2,0,1,0.0,4,0,0,1711.4
146,Gennaio,5,6,1,D1,250,"[""cheese_dairy_day""]",[],7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""pasta_rice"": 5, ""plant_protein_main"": 7}",2,1,0,2.0,5,0,0,1615.5
52,Ottobre,2,5,2,D2,249,"[""cheese_dairy_day""]","[""egg_daily_spread""]",7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""pasta_rice"": 4, ""plant_protein_main"": 7}",2,0,0,5.6,4,0,0,1724.6
145,Gennaio,5,5,5,D5,249,"[""cheese_dairy_day""]","[""egg_daily_spread""]",7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""pasta_rice"": 4, ""plant_protein_main"": 7}",1,0,1,9.6,2,0,0,1624.8
65,Novembre,3,1,5,D5,247,"[""cheese_dairy_day""]",[],7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""pasta_rice"": 7, ""plant_protein_main"": 7}",0,0,0,1.0,2,0,0,1606.1
111,Dicembre,4,5,1,D1,247,"[""cheese_dairy_day""]","[""egg_daily_spread""]",7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""pasta_rice"": 2, ""plant_protein_main"": 7}",4,0,0,5.2,3,1,0,1611.3
141,Gennaio,5,5,1,D1,247,"[""cheese_dairy_day""]","[""egg_daily_spread""]",7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""pasta_rice"": 2, ""plant_protein_main"": 7}",4,0,0,5.2,2,1,0,1613.6
171,Febbraio,6,5,1,D1,247,"[""cheese_dairy_day""]","[""egg_daily_spread""]",7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""pasta_rice"": 2, ""plant_protein_main"": 7}",4,0,0,3.6,3,1,0,1619.2
16,Settembre,1,4,1,D1,246,"[""cheese_dairy_day""]","[""egg_daily_spread""]",7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""pasta_rice"": 2, ""plant_protein_main"": 7}",2,1,0,3.2,5,0,0,1612.1
56,Ottobre,2,6,1,D1,246,"[""cheese_dairy_day""]","[""egg_daily_spread""]",7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""pasta_rice"": 2, ""plant_protein_main"": 7}",2,1,0,2.6,3,0,0,1606.1
131,Gennaio,5,3,1,D1,245,"[""cheese_dairy_day""]",[],7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""pasta_rice"": 2, ""plant_protein_main"": 7}",3,0,3,2.0,4,2,0,1606.7
142,Gennaio,5,5,2,D2,245,"[""cheese_dairy_day""]","[""egg_daily_spread""]",7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""pasta_rice"": 3, ""plant_protein_main"": 7}",2,0,0,4.6,3,0,0,1721.8
143,Gennaio,5,5,3,D3,245,"[""cheese_dairy_day""]","[""egg_daily_spread""]",7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""pasta_rice"": 3, ""plant_protein_main"": 7}",1,0,1,6.2,2,1,0,1458.9
172,Febbraio,6,5,2,D2,245,"[""cheese_dairy_day""]","[""egg_daily_spread""]",7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""pasta_rice"": 3, ""plant_protein_main"": 7}",2,0,0,3.6,2,0,0,1714.5
174,Febbraio,6,5,4,D4,245,"[""cheese_dairy_day""]",[],7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""pasta_rice"": 5, ""plant_protein_main"": 7}",1,0,1,1.6,3,0,0,1553.4
64,Novembre,3,1,4,D4,243,"[""cheese_dairy_day""]",[],7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""pasta_rice"": 6, ""plant_protein_main"": 7}",0,0,0,2.0,2,2,0,1587.9
82,Novembre,3,5,2,D2,243,"[""cheese_dairy_day""]","[""egg_daily_spread""]",7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""pasta_rice"": 1, ""plant_protein_main"": 7}",2,0,2,3.6,4,0,0,1714.8
155,Febbraio,6,1,5,D5,243,"[""cheese_dairy_day""]",[],7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""pasta_rice"": 6, ""plant_protein_main"": 7}",0,0,0,0.0,2,1,0,1625.3
15,Settembre,1,3,5,D5,242,"[""cheese_dairy_day""]","[""egg_daily_spread""]",7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""pasta_rice"": 3, ""plant_protein_main"": 7}",1,0,0,8.0,3,1,0,1624.0
