global_day,month,day_type,meal_id,meal_type,time,recipe_id,recipe_title,ingredient_code,ingredient_name,allowed_months
34,Ottobre,D4,base:meal:034:05,Cena,20:30,base:recipe:poke-tiepido-con-salmone-e-bietole,Poke tiepido con salmone e bietole,cetriolo,cetriolo senza buccia e semi,"[6, 7, 8, 9]"
39,Ottobre,D4,base:meal:039:02,Spuntino,11:00,base:recipe:feta-cetriolo-e-crackers,"Feta, cetriolo e crackers",cetriolo,cetriolo senza buccia e semi,"[6, 7, 8, 9]"
44,Ottobre,D4,base:meal:044:04,Spuntino,17:30,base:recipe:feta-cetriolo-e-crackers,"Feta, cetriolo e crackers",cetriolo,cetriolo senza buccia e semi,"[6, 7, 8, 9]"
61,Novembre,D1,base:meal:061:02,Spuntino,10:30,base:recipe:feta-cetriolo-e-crackers,"Feta, cetriolo e crackers",cetriolo,cetriolo senza buccia e semi,"[6, 7, 8, 9]"
66,Novembre,D1,base:meal:066:01,Colazione,06:30,base:recipe:pane-bianco-con-mozzarella-e-pomodoro,Pane bianco con mozzarella e pomodoro,pomodoro,pomodori,"[6, 7, 8, 9, 10]"
77,Novembre,D2,base:meal:077:04,Spuntino notturno,23:30,base:recipe:mozzarella-e-pomodorini,Mozzarella e pomodorini,pomodoro,pomodori,"[6, 7, 8, 9, 10]"
78,Novembre,D3,base:meal:078:03,Cena,21:00,base:recipe:poke-tiepido-con-salmone-e-carote,Poke tiepido con salmone e carote,cetriolo,cetriolo senza buccia e semi,"[6, 7, 8, 9]"
82,Novembre,D2,base:meal:082:05,Spuntino notturno,03:30,base:recipe:feta-cetriolo-e-crackers,"Feta, cetriolo e crackers",cetriolo,cetriolo senza buccia e semi,"[6, 7, 8, 9]"
82,Novembre,D2,base:meal:082:06,Mini-pasto pre-sonno,08:20,base:recipe:mozzarella-e-pomodorini,Mozzarella e pomodorini,pomodoro,pomodori,"[6, 7, 8, 9, 10]"
85,Novembre,D5,base:meal:085:01,Colazione,08:00,base:recipe:toast-francese-con-primosale-e-pomodoro,Toast francese con primosale e pomodoro,pomodoro,pomodori,"[6, 7, 8, 9, 10]"
85,Novembre,D5,base:meal:085:03,Pranzo,13:30,base:recipe:poke-tiepido-con-salmone-e-carote,Poke tiepido con salmone e carote,cetriolo,cetriolo senza buccia e semi,"[6, 7, 8, 9]"
88,Novembre,D3,base:meal:088:01,Brunch,15:00,base:recipe:brunch-tortilla-spagnola-leggera-con-zucchine,Brunch: Tortilla spagnola leggera con zucchine,zucchina,zucchine,"[5, 6, 7, 8, 9, 10]"
88,Novembre,D3,base:meal:088:02,Spuntino,18:30,base:recipe:feta-cetriolo-e-crackers,"Feta, cetriolo e crackers",cetriolo,cetriolo senza buccia e semi,"[6, 7, 8, 9]"
94,Dicembre,D4,base:meal:094:01,Colazione,08:00,base:recipe:pane-bianco-con-mozzarella-e-pomodoro,Pane bianco con mozzarella e pomodoro,pomodoro,pomodori,"[6, 7, 8, 9, 10]"
94,Dicembre,D4,base:meal:094:05,Cena,20:30,base:recipe:tortilla-spagnola-leggera-con-zucchine,Tortilla spagnola leggera con zucchine,zucchina,zucchine,"[5, 6, 7, 8, 9, 10]"
