start_global_day,end_global_day,start_month,end_month,egg_equivalent_units,egg_limit,dairy_meals,dairy_limit,pasta_rice_primary_meals,pasta_primary_meals,rice_primary_meals,pasta_rice_min,plant_protein_main_meals,plant_protein_min,hard_ok,hard_failures,protein_concentration_warnings,ingredient_concentration_warnings,pasta_rice_balance_warnings
1,7,Settembre,Settembre,20.2,6.0,12,4,3,1,2,5,0,3,no,"[""egg_equivalent"", ""cheese_dairy_window"", ""pasta_rice"", ""plant_protein_main""]",[],"[{""distinct_days"": 5, ""ingredient_code"": ""pane_bianco"", ""meal_count"": 9}, {""distinct_days"": 5, ""ingredient_code"": ""patata"", ""meal_count"": 7}, {""distinct_days"": 5, ""ingredient_code"": ""uovo"", ""meal_count"": 6}]","[{""minimum"": 2, ""observed"": 1, ""source"": ""pasta""}]"
2,8,Settembre,Settembre,19.0,6.0,9,4,3,1,2,5,0,3,no,"[""egg_equivalent"", ""cheese_dairy_window"", ""pasta_rice"", ""plant_protein_main""]",[],"[{""distinct_days"": 5, ""ingredient_code"": ""pane_bianco"", ""meal_count"": 8}, {""distinct_days"": 5, ""ingredient_code"": ""patata"", ""meal_count"": 6}, {""distinct_days"": 5, ""ingredient_code"": ""uovo"", ""meal_count"": 6}]","[{""minimum"": 2, ""observed"": 1, ""source"": ""pasta""}]"
3,9,Settembre,Settembre,20.6,6.0,9,4,4,1,3,5,0,3,no,"[""egg_equivalent"", ""cheese_dairy_window"", ""pasta_rice"", ""plant_protein_main""]",[],"[{""distinct_days"": 4, ""ingredient_code"": ""latte_ps"", ""meal_count"": 5}, {""distinct_days"": 5, ""ingredient_code"": ""pane_bianco"", ""meal_count"": 7}, {""distinct_days"": 5, ""ingredient_code"": ""patata"", ""meal_count"": 6}, {""distinct_days"": 5, ""ingredient_code"": ""uovo"", ""meal_count"": 6}]","[{""minimum"": 2, ""observed"": 1, ""source"": ""pasta""}]"
4,10,Settembre,Settembre,13.8,6.0,9,4,4,1,3,5,0,3,no,"[""egg_equivalent"", ""cheese_dairy_window"", ""pasta_rice"", ""plant_protein_main""]",[],"[{""distinct_days"": 4, ""ingredient_code"": ""fette_bianche"", ""meal_count"": 5}, {""distinct_days"": 5, ""ingredient_code"": ""latte_ps"", ""meal_count"": 7}, {""distinct_days"": 5, ""ingredient_code"": ""pane_bianco"", ""meal_count"": 7}, {""distinct_days"": 4, ""ingredient_code"": ""uovo"", ""meal_count"": 5}]","[{""minimum"": 2, ""observed"": 1, ""source"": ""pasta""}]"
5,11,Settembre,Settembre,13.8,6.0,8,4,4,0,4,5,0,3,no,"[""egg_equivalent"", ""cheese_dairy_window"", ""pasta_rice"", ""plant_protein_main""]",[],"[{""distinct_days"": 5, ""ingredient_code"": ""fagiolini"", ""meal_count"": 5}, {""distinct_days"": 4, ""ingredient_code"": ""fette_bianche"", ""meal_count"": 5}, {""distinct_days"": 4, ""ingredient_code"": ""fico"", ""meal_count"": 5}, {""distinct_days"": 3, ""ingredient_code"": ""gallette_riso"", ""meal_count"": 5}, {""distinct_days"": 5, ""ingredient_code"": ""latte_ps"", ""meal_count"": 7}, {""distinct_days"": 5, ""ingredient_code"": ""pane_bianco"", ""meal_count"": 7}, {""distinct_days"": 4, ""ingredient_code"": ""uovo"", ""meal_count"": 5}]","[{""minimum"": 2, ""observed"": 0, ""source"": ""pasta""}]"
6,12,Settembre,Settembre,14.8,6.0,9,4,4,0,4,5,0,3,no,"[""egg_equivalent"", ""cheese_dairy_window"", ""pasta_rice"", ""plant_protein_main""]","[{""count"": 6, ""group"": ""fish"", ""share"": 0.4615}]","[{""distinct_days"": 5, ""ingredient_code"": ""fagiolini"", ""meal_count"": 5}, {""distinct_days"": 5, ""ingredient_code"": ""latte_ps"", ""meal_count"": 7}, {""distinct_days"": 5, ""ingredient_code"": ""pane_bianco"", ""meal_count"": 7}, {""distinct_days"": 5, ""ingredient_code"": ""uovo"", ""meal_count"": 6}]","[{""minimum"": 2, ""observed"": 0, ""source"": ""pasta""}]"
7,13,Settembre,Settembre,18.0,6.0,10,4,4,0,4,5,0,3,no,"[""egg_equivalent"", ""cheese_dairy_window"", ""pasta_rice"", ""plant_protein_main""]",[],"[{""distinct_days"": 4, ""ingredient_code"": ""albume"", ""meal_count"": 5}, {""distinct_days"": 4, ""ingredient_code"": ""latte_ps"", ""meal_count"": 5}, {""distinct_days"": 5, ""ingredient_code"": ""pane_bianco"", ""meal_count"": 7}, {""distinct_days"": 5, ""ingredient_code"": ""uovo"", ""meal_count"": 6}]","[{""minimum"": 2, ""observed"": 0, ""source"": ""pasta""}]"
8,14,Settembre,Settembre,18.0,6.0,13,4,3,0,3,5,0,3,no,"[""egg_equivalent"", ""cheese_dairy_window"", ""pasta_rice"", ""plant_protein_main""]",[],"[{""distinct_days"": 5, ""ingredient_code"": ""albume"", ""meal_count"": 6}, {""distinct_days"": 4, ""ingredient_code"": ""latte_ps"", ""meal_count"": 5}, {""distinct_days"": 5, ""ingredient_code"": ""pane_bianco"", ""meal_count"": 7}, {""distinct_days"": 3, ""ingredient_code"": ""ricotta"", ""meal_count"": 5}, {""distinct_days"": 5, ""ingredient_code"": ""zucchina"", ""meal_count"": 5}]","[{""minimum"": 2, ""observed"": 0, ""source"": ""pasta""}]"
9,15,Settembre,Settembre,20.4,6.0,15,4,4,0,4,5,0,3,no,"[""egg_equivalent"", ""cheese_dairy_window"", ""pasta_rice"", ""plant_protein_main""]",[],"[{""distinct_days"": 5, ""ingredient_code"": ""albume"", ""meal_count"": 7}, {""distinct_days"": 5, ""ingredient_code"": ""latte_ps"", ""meal_count"": 6}, {""distinct_days"": 5, ""ingredient_code"": ""pane_bianco"", ""meal_count"": 7}, {""distinct_days"": 4, ""ingredient_code"": ""uovo"", ""meal_count"": 5}, {""distinct_days"": 5, ""ingredient_code"": ""zucchina"", ""meal_count"": 5}]","[{""minimum"": 2, ""observed"": 0, ""source"": ""pasta""}]"
10,16,Settembre,Settembre,20.0,6.0,18,4,3,0,3,5,0,3,no,"[""egg_equivalent"", ""cheese_dairy_window"", ""pasta_rice"", ""plant_protein_main""]",[],"[{""distinct_days"": 5, ""ingredient_code"": ""albume"", ""meal_count"": 7}, {""distinct_days"": 5, ""ingredient_code"": ""fico"", ""meal_count"": 5}, {""distinct_days"": 4, ""ingredient_code"": ""latte_ps"", ""meal_count"": 5}, {""distinct_days"": 5, ""ingredient_code"": ""pane_bianco"", ""meal_count"": 7}, {""distinct_days"": 5, ""ingredient_code"": ""zucchina"", ""meal_count"": 5}]","[{""minimum"": 2, ""observed"": 0, ""source"": ""pasta""}]"
