role,title,recipe_id,version_id,meal_types,primary_protein,primary_carb,plant_protein_main,egg_equivalent,cheese_dairy,energy_kcal,protein_g,fiber_g,declared_season_months,derived_safe_months,season_declaration_valid,ingredient_codes
breakfast_snack,Crackers integrali con hummus e carote,base:recipe:v6-crackers-integrali-con-hummus-e-carote,base:recipe-version:v6-crackers-integrali-con-hummus-e-carote:f06cae1e98dec421,Spuntino | Spuntino notturno | Mini-pasto pre-sonno,legumes,crackers_rusks_cakes,False,0.0,False,282.8,8.7,8.2,"1,2,9,10,11,12","1,2,9,10,11,12",True,carota | crackers_integrali | hummus
breakfast_snack,Fette integrali con burro di arachidi e confettura,base:recipe:v6-fette-integrali-con-burro-di-arachidi-e-confettura,base:recipe-version:v6-fette-integrali-con-burro-di-arachidi-e-confettura:72fcd8752957f6a3,Colazione | Brunch | Spuntino | Spuntino notturno | Mini-pasto pre-sonno,nuts_seeds,crackers_rusks_cakes,False,0.0,False,284.1,7.9,3.6,"1,2,9,10,11,12","1,2,9,10,11,12",True,burro_arachidi | fette_integrali | marmellata
breakfast_snack,Gallette di riso con burro di arachidi e banana,base:recipe:v6-gallette-di-riso-con-burro-di-arachidi-e-banana,base:recipe-version:v6-gallette-di-riso-con-burro-di-arachidi-e-banana:0662b0d58a819f7a,Colazione | Brunch | Spuntino | Spuntino notturno | Mini-pasto pre-sonno,nuts_seeds,crackers_rusks_cakes,False,0.0,False,281.4,7.3,4.2,"1,2,9,10,11,12","1,2,9,10,11,12",True,banana | burro_arachidi | gallette_riso
breakfast_snack,Kefir con avena e mela,base:recipe:v6-kefir-con-avena-e-mela,base:recipe-version:v6-kefir-con-avena-e-mela:5949e62cb01d3247,Colazione | Brunch,milk_yogurt,other_grains,False,0.0,False,278.1,11.7,6.1,"1,2,9,10,11,12","1,2,9,10,11,12",True,avena | kefir | mela
breakfast_snack,Kefir con banana e pistacchi,base:recipe:v6-kefir-con-banana-e-pistacchi,base:recipe-version:v6-kefir-con-banana-e-pistacchi:6663fc9362c6db18,Spuntino | Spuntino notturno | Mini-pasto pre-sonno | Colazione | Brunch,milk_yogurt,,False,0.0,False,243.5,9.5,3.6,"1,2,9,10,11,12","1,2,9,10,11,12",True,banana | kefir | pistacchi
breakfast_snack,"Latte, avena e banana",base:recipe:v6-latte-avena-e-banana,base:recipe-version:v6-latte-avena-e-banana:2d8c1f81a04cbfae,Colazione | Brunch,milk_yogurt,other_grains,False,0.0,False,317.1,13.6,6.3,"1,2,9,10,11,12","1,2,9,10,11,12",True,avena | banana | latte_ps
breakfast_snack,Mini panino con bresaola e carote,base:recipe:v6-mini-panino-con-bresaola-e-carote,base:recipe-version:v6-mini-panino-con-bresaola-e-carote:f4a50d7eba0d1cff,Spuntino | Spuntino notturno | Mini-pasto pre-sonno,cold_cuts,bread,False,0.0,False,204.9,15.7,3.5,"1,2,9,10,11,12","1,2,9,10,11,12",True,bresaola | carota | pane_bianco
breakfast_snack,Mini panino con tacchino e spinaci,base:recipe:v6-mini-panino-con-tacchino-e-spinaci,base:recipe-version:v6-mini-panino-con-tacchino-e-spinaci:f554c16213f54aa1,Spuntino | Spuntino notturno | Mini-pasto pre-sonno,cold_cuts,bread,False,0.0,False,177.3,13.9,2.8,"1,2,9,10,11,12","1,2,9,10,11,12",True,pane_bianco | spinaci | tacchino_affettato
breakfast_snack,"Pane di segale, burro di arachidi e pera",base:recipe:v6-pane-di-segale-burro-di-arachidi-e-pera,base:recipe-version:v6-pane-di-segale-burro-di-arachidi-e-pera:949d5ac5223fb3e8,Colazione | Brunch,nuts_seeds,bread,False,0.0,False,305.3,9.6,7.4,"1,2,9,10,11,12","1,2,9,10,11,12",True,burro_arachidi | pane_segale | pera
breakfast_snack,Pane integrale con hummus e spinaci,base:recipe:v6-pane-integrale-con-hummus-e-spinaci,base:recipe-version:v6-pane-integrale-con-hummus-e-spinaci:1ba508863e4ce1bf,Spuntino | Spuntino notturno | Mini-pasto pre-sonno,legumes,bread,False,0.0,False,222.2,10.7,8.0,"1,2,9,10,11,12","1,2,9,10,11,12",True,hummus | pane_integrale | spinaci
breakfast_snack,"Pane integrale, burro di arachidi e banana",base:recipe:v6-pane-integrale-burro-di-arachidi-e-banana,base:recipe-version:v6-pane-integrale-burro-di-arachidi-e-banana:7ed21ce5cd13d99d,Colazione | Brunch,nuts_seeds,bread,False,0.0,False,323.4,10.4,7.0,"1,2,9,10,11,12","1,2,9,10,11,12",True,banana | burro_arachidi | pane_integrale
breakfast_snack,Yogurt con avena e mela,base:recipe:v6-yogurt-con-avena-e-mela,base:recipe-version:v6-yogurt-con-avena-e-mela:1bc3c9dc04beea24,Colazione | Brunch,milk_yogurt,other_grains,False,0.0,False,305.6,13.1,6.6,"1,2,9,10,11,12","1,2,9,10,11,12",True,avena | mela | yogurt_bianco
breakfast_snack,Yogurt con avena e pera,base:recipe:v6-yogurt-con-avena-e-pera,base:recipe-version:v6-yogurt-con-avena-e-pera:deac64791fb6ff2d,Colazione | Brunch,milk_yogurt,other_grains,False,0.0,False,311.6,13.2,7.4,"1,2,9,10,11,12","1,2,9,10,11,12",True,avena | pera | yogurt_bianco
breakfast_snack,Yogurt con frutti di bosco e nocciole,base:recipe:v6-yogurt-con-frutti-di-bosco-e-nocciole,base:recipe-version:v6-yogurt-con-frutti-di-bosco-e-nocciole:b86f2b6106ba2075,Spuntino | Spuntino notturno | Mini-pasto pre-sonno | Colazione | Brunch,milk_yogurt,,False,0.0,False,238.7,9.2,6.5,"1,2,9,10,11,12","1,2,9,10,11,12",True,frutti_bosco | nocciole | yogurt_bianco
breakfast_snack,"Yogurt, banana e mandorle",base:recipe:v6-yogurt-banana-e-mandorle,base:recipe-version:v6-yogurt-banana-e-mandorle:3c809d3ef5f7a883,Colazione | Brunch,milk_yogurt,,False,0.0,False,282.9,11.1,4.5,"1,2,9,10,11,12","1,2,9,10,11,12",True,banana | mandorle | yogurt_bianco
breakfast_snack,"Yogurt, kiwi e noci",base:recipe:v6-yogurt-kiwi-e-noci,base:recipe-version:v6-yogurt-kiwi-e-noci:1f35f66ca7cb06e3,Colazione | Brunch,milk_yogurt,,False,0.0,False,258.8,9.9,4.4,"1,2,11,12","1,2,11,12",True,kiwi | noci | yogurt_bianco
main_other,Couscous con gamberi e broccoli,base:recipe:v6-couscous-con-gamberi-e-broccoli,base:recipe-version:v6-couscous-con-gamberi-e-broccoli:cacc7a666bf66029,Pranzo | Cena | Pasto preturno,fish,other_grains,False,0.0,False,445.9,36.0,5.8,"1,2,10,11,12","1,2,10,11,12",True,broccoli | couscous | gamberi | olio
main_other,Couscous con pollo e carote,base:recipe:v6-couscous-con-pollo-e-carote,base:recipe-version:v6-couscous-con-pollo-e-carote:d861a05c3d30d7fb,Pranzo | Cena | Brunch | Pasto preturno,poultry,other_grains,False,0.0,False,471.5,32.2,6.4,"1,2,9,10,11,12","1,2,9,10,11,12",True,carota | couscous | olio | pollo
main_other,Farro con tonno e radicchio,base:recipe:v6-farro-con-tonno-e-radicchio,base:recipe-version:v6-farro-con-tonno-e-radicchio:a2aa957d5bcb6ace,Pranzo | Cena | Pasto preturno,fish,other_grains,False,0.0,False,404.8,34.5,5.5,"1,2,10,11,12","1,2,10,11,12",True,farro | olio | radicchio | tonno_naturale
main_other,Grano saraceno con manzo e funghi,base:recipe:v6-grano-saraceno-con-manzo-e-funghi,base:recipe-version:v6-grano-saraceno-con-manzo-e-funghi:d004b061ebe7cd7e,Pranzo | Cena | Pasto preturno,red_meat,other_grains,False,0.0,False,426.8,32.2,7.5,"9,10,11","9,10,11",True,funghi | grano_saraceno | manzo_magro | olio
main_other,Orzo con tacchino e zucca,base:recipe:v6-orzo-con-tacchino-e-zucca,base:recipe-version:v6-orzo-con-tacchino-e-zucca:03634e841f0aec0c,Pranzo | Cena | Pasto preturno,poultry,other_grains,False,0.0,False,428.5,32.9,6.2,"1,2,9,10,11,12","1,2,9,10,11,12",True,olio | orzo | tacchino | zucca
main_other,Pane integrale con pollo e zucca arrosto,base:recipe:v6-pane-integrale-con-pollo-e-zucca-arrosto,base:recipe-version:v6-pane-integrale-con-pollo-e-zucca-arrosto:d29d09614bd2ff7b,Pranzo | Cena | Brunch | Pasto preturno,poultry,bread,False,0.0,False,432.2,32.8,6.7,"1,2,9,10,11,12","1,2,9,10,11,12",True,olio | pane_integrale | pollo | zucca
main_other,Patate con salmone e finocchi,base:recipe:v6-patate-con-salmone-e-finocchi,base:recipe-version:v6-patate-con-salmone-e-finocchi:5750ae4635bb4b0d,Pranzo | Cena | Pasto preturno,fish,potato,False,0.0,False,466.9,24.5,10.0,"1,2,10,11,12","1,2,10,11,12",True,finocchio | olio | patata | salmone
