global_day,month,cycle,variant,day_in_variant,day_type,meal_count,egg_equivalent_units,dairy_meals,pasta_rice_primary_meals,plant_protein_main_meals,energy_kcal,energy_reference_kcal,energy_delta_kcal,energy_delta_pct,direct_hard_failures,direct_soft_warnings,hard_windows_touching,hard_kinds_touching,soft_windows_touching,recipe_repeat_warnings,high_recipe_repeat_warnings,off_season_occurrences,review_score
1,Settembre,1,1,1,D1,5,0.0,1,1,1,1617.5,1612.0,5.5,0.0034,[],[],0,{},0,0,0,0,0
2,Settembre,1,1,2,D2,6,2.0,0,1,0,1709.8,1709.0,0.8,0.0004,[],[],0,{},0,0,0,0,0
3,Settembre,1,1,3,D3,3,0.0,0,1,1,1450.7,1467.0,-16.3,-0.0111,[],[],0,{},0,0,0,0,0
4,Settembre,1,1,4,D4,5,0.0,1,1,0,1633.2,1614.0,19.2,0.0119,[],[],0,{},0,0,0,0,0
5,Settembre,1,1,5,D5,5,0.0,0,1,1,1614.9,1626.0,-11.1,-0.0068,[],[],0,{},0,0,0,0,0
6,Settembre,1,2,1,D1,5,0.0,0,1,0,1611.6,1612.0,-0.4,-0.0003,[],[],0,{},0,0,0,0,0
7,Settembre,1,2,2,D2,6,1.0,0,0,0,1711.9,1709.0,2.9,0.0017,[],[],0,{},0,0,0,0,0
8,Settembre,1,2,3,D3,3,0.0,0,1,1,1463.8,1467.0,-3.2,-0.0022,[],[],0,{},0,0,0,0,0
9,Settembre,1,2,4,D4,5,0.0,1,1,0,1622.3,1614.0,8.3,0.0051,[],[],0,{},0,0,0,0,0
10,Settembre,1,2,5,D5,5,0.0,0,1,1,1655.3,1626.0,29.3,0.018,[],[],0,{},0,0,0,0,0
11,Settembre,1,3,1,D1,5,0.0,1,2,0,1619.4,1612.0,7.4,0.0046,[],[],0,{},0,0,0,0,0
12,Settembre,1,3,2,D2,6,0.0,0,1,1,1709.6,1709.0,0.6,0.0004,[],[],0,{},0,0,0,0,0
13,Settembre,1,3,3,D3,3,0.0,0,1,0,1444.7,1467.0,-22.3,-0.0152,[],[],0,{},0,0,0,0,0
14,Settembre,1,3,4,D4,5,0.0,1,0,0,1606.7,1614.0,-7.3,-0.0045,[],[],0,{},0,0,0,0,0
15,Settembre,1,3,5,D5,5,0.0,0,1,1,1624.2,1626.0,-1.8,-0.0011,[],[],0,{},0,0,0,0,0
16,Settembre,1,4,1,D1,5,0.0,1,1,0,1611.5,1612.0,-0.5,-0.0003,[],[],0,{},0,0,0,0,0
17,Settembre,1,4,2,D2,6,0.0,0,1,1,1702.7,1709.0,-6.3,-0.0037,[],[],0,{},0,0,0,0,0
18,Settembre,1,4,3,D3,3,0.0,0,1,0,1461.6,1467.0,-5.4,-0.0037,[],[],0,{},0,0,0,0,0
19,Settembre,1,4,4,D4,5,1.0,1,1,1,1564.2,1614.0,-49.8,-0.0309,[],[],0,{},0,0,0,0,0
20,Settembre,1,4,5,D5,5,0.0,0,1,0,1673.2,1626.0,47.2,0.0291,[],[],0,{},0,0,0,0,0
21,Settembre,1,5,1,D1,5,2.0,1,0,0,1625.6,1612.0,13.6,0.0085,[],[],0,{},0,0,0,0,0
22,Settembre,1,5,2,D2,6,0.0,0,1,1,1704.3,1709.0,-4.7,-0.0027,[],[],0,{},0,0,0,0,0
23,Settembre,1,5,3,D3,3,0.0,0,1,0,1461.8,1467.0,-5.2,-0.0035,[],[],0,{},0,0,0,0,0
24,Settembre,1,5,4,D4,5,1.6,1,1,1,1608.8,1614.0,-5.2,-0.0032,[],[],0,{},0,0,0,0,0
25,Settembre,1,5,5,D5,5,0.0,0,1,0,1610.1,1626.0,-15.9,-0.0098,[],[],0,{},0,0,0,0,0
26,Settembre,1,6,1,D1,5,0.0,1,1,1,1611.5,1612.0,-0.5,-0.0003,[],[],0,{},0,0,0,0,0
27,Settembre,1,6,2,D2,6,0.0,0,1,0,1711.4,1709.0,2.4,0.0014,[],[],0,{},0,0,0,0,0
28,Settembre,1,6,3,D3,3,0.0,1,0,0,1465.9,1467.0,-1.1,-0.0008,[],[],0,{},0,0,0,0,0
29,Settembre,1,6,4,D4,5,0.0,0,1,1,1610.9,1614.0,-3.1,-0.0019,[],[],0,{},0,0,0,0,0
30,Settembre,1,6,5,D5,5,0.0,0,1,0,1644.2,1626.0,18.2,0.0112,[],[],0,{},0,0,0,0,0
31,Ottobre,2,1,1,D1,5,0.0,0,1,1,1609.0,1612.0,-3.0,-0.0019,[],[],0,{},0,0,0,0,0
32,Ottobre,2,1,2,D2,6,0.0,1,1,0,1709.1,1709.0,0.1,0.0001,[],[],0,{},0,0,0,0,0
33,Ottobre,2,1,3,D3,3,0.0,0,1,1,1420.1,1467.0,-46.9,-0.0319,[],[],0,{},0,0,0,0,0
34,Ottobre,2,1,4,D4,5,2.0,1,1,0,1624.1,1614.0,10.1,0.0062,[],[],0,{},0,0,0,0,0
35,Ottobre,2,1,5,D5,5,0.0,0,0,0,1621.1,1626.0,-4.9,-0.003,[],[],0,{},0,0,0,0,0
36,Ottobre,2,2,1,D1,5,2.0,0,1,1,1605.8,1612.0,-6.2,-0.0038,[],[],0,{},0,0,0,0,0
37,Ottobre,2,2,2,D2,6,0.0,1,1,0,1704.2,1709.0,-4.8,-0.0028,[],[],0,{},0,0,0,0,0
38,Ottobre,2,2,3,D3,3,0.0,0,1,1,1467.4,1467.0,0.4,0.0003,[],[],0,{},0,0,0,0,0
39,Ottobre,2,2,4,D4,5,0.0,0,2,0,1623.5,1614.0,9.5,0.0059,[],[],0,{},0,0,0,0,0
40,Ottobre,2,2,5,D5,5,0.0,1,1,1,1642.6,1626.0,16.6,0.0102,[],[],0,{},0,0,0,0,0
41,Ottobre,2,3,1,D1,5,0.0,0,1,0,1563.0,1612.0,-49.0,-0.0304,[],[],0,{},0,0,0,0,0
42,Ottobre,2,3,2,D2,6,0.0,0,0,0,1704.3,1709.0,-4.7,-0.0028,[],[],0,{},0,0,0,0,0
43,Ottobre,2,3,3,D3,3,0.0,0,1,1,1472.6,1467.0,5.6,0.0038,[],[],0,{},0,0,0,0,0
44,Ottobre,2,3,4,D4,5,0.0,1,1,0,1616.2,1614.0,2.2,0.0014,[],[],0,{},0,0,0,0,0
45,Ottobre,2,3,5,D5,5,1.6,0,1,1,1586.3,1626.0,-39.7,-0.0244,[],[],0,{},0,0,0,0,0
46,Ottobre,2,4,1,D1,5,0.0,1,1,0,1612.0,1612.0,-0.0,-0.0,[],[],0,{},0,0,0,0,0
47,Ottobre,2,4,2,D2,6,0.0,0,1,1,1701.8,1709.0,-7.2,-0.0042,[],[],0,{},0,0,0,0,0
48,Ottobre,2,4,3,D3,3,0.0,1,1,0,1481.5,1467.0,14.5,0.0099,[],[],0,{},0,0,0,0,0
49,Ottobre,2,4,4,D4,5,0.0,0,0,0,1612.1,1614.0,-1.9,-0.0012,[],[],0,{},0,0,0,0,0
50,Ottobre,2,4,5,D5,5,0.0,1,1,1,1630.2,1626.0,4.2,0.0026,[],[],0,{},0,0,0,0,0
51,Ottobre,2,5,1,D1,5,0.0,0,1,0,1614.9,1612.0,2.9,0.0018,[],[],0,{},0,0,0,0,0
52,Ottobre,2,5,2,D2,6,0.0,1,1,1,1723.7,1709.0,14.7,0.0086,[],[],0,{},0,0,0,0,0
53,Ottobre,2,5,3,D3,3,0.0,0,1,0,1449.2,1467.0,-17.8,-0.0121,[],[],0,{},0,0,0,0,0
54,Ottobre,2,5,4,D4,5,0.0,1,1,1,1622.2,1614.0,8.2,0.0051,[],[],0,{},0,0,0,0,0
55,Ottobre,2,5,5,D5,5,0.0,0,2,0,1617.8,1626.0,-8.2,-0.005,[],[],0,{},0,0,0,0,0
56,Ottobre,2,6,1,D1,5,2.0,1,0,0,1606.8,1612.0,-5.2,-0.0032,[],[],0,{},0,0,0,0,0
57,Ottobre,2,6,2,D2,6,0.0,0,1,1,1712.8,1709.0,3.8,0.0022,[],[],0,{},0,0,0,0,0
58,Ottobre,2,6,3,D3,3,0.0,0,1,0,1461.8,1467.0,-5.2,-0.0035,[],[],0,{},0,0,0,0,0
59,Ottobre,2,6,4,D4,5,0.0,1,1,1,1624.4,1614.0,10.4,0.0064,[],[],0,{},0,0,0,0,0
60,Ottobre,2,6,5,D5,5,0.0,0,1,0,1643.2,1626.0,17.2,0.0106,[],[],0,{},0,0,0,0,0
61,Novembre,3,1,1,D1,5,0.0,0,1,1,1606.1,1612.0,-5.9,-0.0036,[],[],0,{},0,0,0,0,0
62,Novembre,3,1,2,D2,6,0.0,1,1,0,1676.6,1709.0,-32.4,-0.019,[],[],0,{},0,0,0,0,0
63,Novembre,3,1,3,D3,3,1.6,0,0,0,1463.3,1467.0,-3.7,-0.0025,[],[],0,{},0,0,0,0,0
64,Novembre,3,1,4,D4,5,0.0,1,1,1,1585.5,1614.0,-28.5,-0.0177,[],[],0,{},0,0,0,0,0
65,Novembre,3,1,5,D5,5,1.0,0,1,0,1606.6,1626.0,-19.4,-0.0119,[],[],0,{},0,0,0,0,0
66,Novembre,3,2,1,D1,5,0.0,1,1,1,1609.5,1612.0,-2.5,-0.0016,[],[],0,{},0,0,0,0,0
67,Novembre,3,2,2,D2,6,1.6,0,0,0,1708.7,1709.0,-0.3,-0.0002,[],[],0,{},0,0,0,0,0
68,Novembre,3,2,3,D3,3,0.0,0,1,1,1436.0,1467.0,-31.0,-0.0211,[],[],0,{},0,0,0,0,0
69,Novembre,3,2,4,D4,5,0.0,1,1,0,1624.4,1614.0,10.4,0.0064,[],[],0,{},0,0,0,0,0
70,Novembre,3,2,5,D5,5,0.0,0,0,0,1645.5,1626.0,19.5,0.012,[],[],0,{},0,0,0,0,0
71,Novembre,3,3,1,D1,5,0.0,0,1,1,1605.9,1612.0,-6.1,-0.0038,[],[],0,{},0,0,0,0,0
72,Novembre,3,3,2,D2,6,2.0,0,1,0,1710.4,1709.0,1.4,0.0008,[],[],0,{},0,0,0,0,0
73,Novembre,3,3,3,D3,3,0.0,0,1,1,1446.1,1467.0,-20.9,-0.0143,[],[],0,{},0,0,0,0,0
74,Novembre,3,3,4,D4,5,0.0,1,1,0,1621.4,1614.0,7.4,0.0046,[],[],0,{},0,0,0,0,0
75,Novembre,3,3,5,D5,5,0.0,0,1,1,1572.2,1626.0,-53.8,-0.0331,[],[],0,{},0,0,0,0,0
76,Novembre,3,4,1,D1,5,0.0,1,1,0,1607.1,1612.0,-4.9,-0.003,[],[],0,{},0,0,0,0,0
77,Novembre,3,4,2,D2,6,0.0,0,0,0,1697.6,1709.0,-11.4,-0.0066,[],[],0,{},0,0,0,0,0
78,Novembre,3,4,3,D3,3,0.0,0,1,1,1436.0,1467.0,-31.0,-0.0211,[],[],0,{},0,0,0,0,0
79,Novembre,3,4,4,D4,5,0.0,1,1,0,1613.6,1614.0,-0.4,-0.0002,[],[],0,{},0,0,0,0,0
80,Novembre,3,4,5,D5,5,0.0,0,1,1,1631.9,1626.0,5.9,0.0037,[],[],0,{},0,0,0,0,0
81,Novembre,3,5,1,D1,5,0.0,0,1,0,1617.4,1612.0,5.4,0.0033,[],[],0,{},0,0,0,0,0
82,Novembre,3,5,2,D2,6,0.0,1,1,1,1714.7,1709.0,5.7,0.0033,[],[],0,{},0,0,0,0,0
83,Novembre,3,5,3,D3,3,0.0,0,1,0,1463.3,1467.0,-3.7,-0.0025,[],[],0,{},0,0,0,0,0
84,Novembre,3,5,4,D4,5,1.0,1,0,0,1562.2,1614.0,-51.8,-0.0321,[],[],0,{},0,0,0,0,0
85,Novembre,3,5,5,D5,5,0.0,0,1,1,1613.7,1626.0,-12.3,-0.0076,[],[],0,{},0,0,0,0,0
86,Novembre,3,6,1,D1,5,2.0,1,1,0,1616.4,1612.0,4.4,0.0027,[],[],0,{},0,0,0,0,0
87,Novembre,3,6,2,D2,6,0.0,0,1,1,1704.5,1709.0,-4.5,-0.0026,[],[],0,{},0,0,0,0,0
88,Novembre,3,6,3,D3,3,0.0,0,1,0,1471.9,1467.0,4.9,0.0033,[],[],0,{},0,0,0,0,0
89,Novembre,3,6,4,D4,5,0.0,0,1,1,1547.8,1614.0,-66.2,-0.041,[],[],0,{},0,0,0,0,0
90,Novembre,3,6,5,D5,5,0.0,0,1,0,1631.1,1626.0,5.1,0.0032,[],[],0,{},0,0,0,0,0
91,Dicembre,4,1,1,D1,5,0.0,0,0,0,1615.4,1612.0,3.4,0.0021,[],[],0,{},0,0,0,0,0
92,Dicembre,4,1,2,D2,6,0.0,0,1,1,1701.5,1709.0,-7.5,-0.0044,[],[],0,{},0,0,0,0,0
93,Dicembre,4,1,3,D3,3,0.0,0,1,0,1466.8,1467.0,-0.2,-0.0002,[],[],0,{},0,0,0,0,0
94,Dicembre,4,1,4,D4,5,1.0,0,1,1,1623.5,1614.0,9.5,0.0059,[],[],0,{},0,0,0,0,0
95,Dicembre,4,1,5,D5,5,0.0,1,1,0,1597.3,1626.0,-28.7,-0.0176,[],[],0,{},0,0,0,0,0
96,Dicembre,4,2,1,D1,5,0.0,0,1,1,1572.7,1612.0,-39.3,-0.0244,[],[],0,{},0,0,0,0,0
97,Dicembre,4,2,2,D2,6,0.0,1,1,0,1711.5,1709.0,2.5,0.0015,[],[],0,{},0,0,0,0,0
98,Dicembre,4,2,3,D3,3,0.0,0,0,0,1473.3,1467.0,6.3,0.0043,[],[],0,{},0,0,0,0,0
99,Dicembre,4,2,4,D4,5,0.0,1,1,1,1613.4,1614.0,-0.6,-0.0004,[],[],0,{},0,0,0,0,0
100,Dicembre,4,2,5,D5,5,0.0,0,1,0,1638.5,1626.0,12.5,0.0077,[],[],0,{},0,0,0,0,0
101,Dicembre,4,3,1,D1,5,2.0,0,1,1,1616.2,1612.0,4.2,0.0026,[],[],0,{},0,0,0,0,0
102,Dicembre,4,3,2,D2,6,0.0,0,1,0,1700.0,1709.0,-9.0,-0.0053,[],[],0,{},0,0,0,0,0
103,Dicembre,4,3,3,D3,3,0.0,0,1,1,1445.4,1467.0,-21.6,-0.0147,[],[],0,{},0,0,0,0,0
104,Dicembre,4,3,4,D4,5,0.0,1,1,0,1622.7,1614.0,8.7,0.0054,[],[],0,{},0,0,0,0,0
105,Dicembre,4,3,5,D5,5,0.0,0,0,0,1607.7,1626.0,-18.3,-0.0113,[],[],0,{},0,0,0,0,0
106,Dicembre,4,4,1,D1,5,0.0,1,1,1,1535.4,1612.0,-76.6,-0.0475,[],[],0,{},0,0,0,0,0
107,Dicembre,4,4,2,D2,6,0.0,0,1,0,1701.5,1709.0,-7.5,-0.0044,[],[],0,{},0,0,0,0,0
108,Dicembre,4,4,3,D3,3,0.0,0,1,1,1460.8,1467.0,-6.2,-0.0042,[],[],0,{},0,0,0,0,0
109,Dicembre,4,4,4,D4,5,0.0,0,1,0,1605.3,1614.0,-8.7,-0.0054,[],[],0,{},0,0,0,0,0
110,Dicembre,4,4,5,D5,5,0.0,1,1,1,1640.4,1626.0,14.4,0.0089,[],[],0,{},0,0,0,0,0
111,Dicembre,4,5,1,D1,5,0.0,0,2,0,1609.9,1612.0,-2.1,-0.0013,[],[],0,{},0,0,0,0,0
112,Dicembre,4,5,2,D2,6,0.0,1,0,0,1713.7,1709.0,4.7,0.0028,[],[],0,{},0,0,0,0,0
113,Dicembre,4,5,3,D3,3,0.0,0,1,1,1445.4,1467.0,-21.6,-0.0147,[],[],0,{},0,0,0,0,0
114,Dicembre,4,5,4,D4,5,0.0,1,1,0,1614.4,1614.0,0.4,0.0002,[],[],0,{},0,0,0,0,0
115,Dicembre,4,5,5,D5,5,1.0,0,1,1,1627.0,1626.0,1.0,0.0006,[],[],0,{},0,0,0,0,0
116,Dicembre,4,6,1,D1,5,0.0,1,1,0,1576.8,1612.0,-35.2,-0.0219,[],[],0,{},0,0,0,0,0
117,Dicembre,4,6,2,D2,6,0.0,0,1,1,1714.0,1709.0,5.0,0.0029,[],[],0,{},0,0,0,0,0
118,Dicembre,4,6,3,D3,3,0.0,0,1,0,1475.1,1467.0,8.1,0.0055,[],[],0,{},0,0,0,0,0
119,Dicembre,4,6,4,D4,5,0.0,1,0,0,1603.2,1614.0,-10.8,-0.0067,[],[],0,{},0,0,0,0,0
120,Dicembre,4,6,5,D5,5,0.0,0,1,1,1642.1,1626.0,16.1,0.0099,[],[],0,{},0,0,0,0,0
121,Gennaio,5,1,1,D1,5,0.0,1,1,0,1619.8,1612.0,7.8,0.0048,[],[],0,{},0,0,0,0,0
122,Gennaio,5,1,2,D2,6,0.0,0,2,1,1711.8,1709.0,2.8,0.0016,[],[],0,{},0,0,0,0,0
123,Gennaio,5,1,3,D3,3,0.0,0,1,0,1471.9,1467.0,4.9,0.0033,[],[],0,{},0,0,0,0,0
124,Gennaio,5,1,4,D4,5,0.0,1,1,1,1618.8,1614.0,4.8,0.003,[],[],0,{},0,0,0,0,0
125,Gennaio,5,1,5,D5,5,0.0,0,1,0,1615.1,1626.0,-10.9,-0.0067,[],[],0,{},0,0,0,0,0
126,Gennaio,5,2,1,D1,5,0.0,0,0,0,1595.5,1612.0,-16.5,-0.0102,[],[],0,{},0,0,0,0,0
127,Gennaio,5,2,2,D2,6,0.0,1,1,1,1647.3,1709.0,-61.7,-0.0361,[],[],0,{},0,0,0,0,0
128,Gennaio,5,2,3,D3,3,0.0,0,1,0,1463.8,1467.0,-3.2,-0.0022,[],[],0,{},0,0,0,0,0
129,Gennaio,5,2,4,D4,5,2.0,0,1,1,1621.6,1614.0,7.6,0.0047,[],[],0,{},0,0,0,0,0
130,Gennaio,5,2,5,D5,5,0.0,0,1,0,1639.2,1626.0,13.2,0.0081,[],[],0,{},0,0,0,0,0
131,Gennaio,5,3,1,D1,5,0.0,1,1,1,1605.5,1612.0,-6.5,-0.004,[],[],0,{},0,0,0,0,0
132,Gennaio,5,3,2,D2,6,0.0,1,1,0,1704.3,1709.0,-4.7,-0.0028,[],[],0,{},0,0,0,0,0
133,Gennaio,5,3,3,D3,3,1.6,0,0,0,1465.8,1467.0,-1.2,-0.0008,[],[],0,{},0,0,0,0,0
134,Gennaio,5,3,4,D4,5,0.0,1,1,1,1620.8,1614.0,6.8,0.0042,[],[],0,{},0,0,0,0,0
135,Gennaio,5,3,5,D5,5,0.0,0,1,0,1618.4,1626.0,-7.6,-0.0047,[],[],0,{},0,0,0,0,0
136,Gennaio,5,4,1,D1,5,0.0,0,1,1,1612.6,1612.0,0.6,0.0004,[],[],0,{},0,0,0,0,0
137,Gennaio,5,4,2,D2,6,1.0,0,1,0,1712.3,1709.0,3.3,0.0019,[],[],0,{},0,0,0,0,0
138,Gennaio,5,4,3,D3,3,0.0,0,1,1,1466.5,1467.0,-0.5,-0.0003,[],[],0,{},0,0,0,0,0
139,Gennaio,5,4,4,D4,5,0.0,1,1,0,1608.7,1614.0,-5.3,-0.0033,[],[],0,{},0,0,0,0,0
140,Gennaio,5,4,5,D5,5,0.0,0,0,0,1639.3,1626.0,13.3,0.0082,[],[],0,{},0,0,0,0,0
141,Gennaio,5,5,1,D1,5,0.0,1,1,1,1613.7,1612.0,1.7,0.001,[],[],0,{},0,0,0,0,0
