global_day,month,day_type,weekly_focus,review_status,changed_meals,energy_kcal,energy_reference_kcal,energy_delta_pct,egg_equivalent_units,dairy_meals,pasta_rice_primary_meals,plant_protein_main_meals
1,Settembre,D1,plant_pasta,approved,4,1617.5,1612.0,0.0034,0.0,1,1,1
2,Settembre,D2,rice_animal,approved,4,1709.8,1709.0,0.0004,2.0,0,1,0
3,Settembre,D3,plant_rice,approved,3,1450.7,1467.0,-0.0111,0.0,0,1,1
4,Settembre,D4,pasta_animal,approved,2,1633.2,1614.0,0.0119,0.0,1,1,0
5,Settembre,D5,plant_pasta,approved,4,1614.9,1626.0,-0.0068,0.0,0,1,1
6,Settembre,D1,rice_animal,approved,4,1611.6,1612.0,-0.0003,0.0,0,1,0
7,Settembre,D2,other,approved,4,1711.9,1709.0,0.0017,1.0,0,0,0
8,Settembre,D3,plant_pasta,approved,3,1463.8,1467.0,-0.0022,0.0,0,1,1
9,Settembre,D4,rice_animal,approved,4,1622.3,1614.0,0.0051,0.0,1,1,0
10,Settembre,D5,plant_rice,approved,5,1655.3,1626.0,0.018,0.0,0,1,1
11,Settembre,D1,pasta_animal,approved,4,1619.4,1612.0,0.0046,0.0,1,2,0
12,Settembre,D2,plant_pasta,approved,6,1709.6,1709.0,0.0004,0.0,0,1,1
13,Settembre,D3,rice_animal,approved,3,1444.7,1467.0,-0.0152,0.0,0,1,0
14,Settembre,D4,other,approved,4,1606.7,1614.0,-0.0045,0.0,1,0,0
15,Settembre,D5,plant_pasta,approved,5,1624.2,1626.0,-0.0011,0.0,0,1,1
16,Settembre,D1,rice_animal,approved,4,1611.5,1612.0,-0.0003,0.0,1,1,0
17,Settembre,D2,plant_rice,approved,6,1702.7,1709.0,-0.0037,0.0,0,1,1
18,Settembre,D3,pasta_animal,approved,3,1461.6,1467.0,-0.0037,0.0,0,1,0
19,Settembre,D4,plant_pasta,approved,3,1564.2,1614.0,-0.0309,1.0,1,1,1
20,Settembre,D5,rice_animal,approved,5,1673.2,1626.0,0.0291,0.0,0,1,0
