ingredient_code,ingredient_name,category,meal_occurrences,distinct_days,total_base_quantity,base_unit
olio,olio extravergine di oliva,Condimenti e dispensa,352,180,2280.0,g
pane_bianco,pane bianco comune,"Cereali, pane e derivati",90,79,4741.0,g
latte_ps,latte parzialmente scremato,Latticini e uova,88,79,16890.0,ml
banana,banana,Ortofrutta,87,76,8520.0,g
kefir,kefir naturale,Latticini e uova,79,74,12710.0,ml
carota,carote,Ortofrutta,78,67,10260.0,g
yogurt_bianco,yogurt bianco naturale,Latticini e uova,78,68,9625.0,g
spinaci,spinaci,Ortofrutta,74,68,8320.0,g
pasta,pasta secca,"Cereali, pane e derivati",72,72,4775.0,g
pane_integrale,pane integrale,"Cereali, pane e derivati",67,55,4460.0,g
pera,pera,Ortofrutta,60,53,7450.0,g
tacchino,petto di tacchino,Carne e affettati,54,52,6535.0,g
zucca,zucca,Ortofrutta,53,52,8940.0,g
patata,patate,"Cereali, pane e derivati",52,51,12035.0,g
hummus,hummus semplice senza spezie piccanti,Legumi e conserve,50,47,2200.0,g
riso_basmati,riso basmati secco,"Cereali, pane e derivati",49,47,2615.0,g
polenta,farina di mais per polenta,"Cereali, pane e derivati",48,47,2860.0,g
burro_arachidi,burro di arachidi 100%,Frutta secca e semi,46,45,764.0,g
pollo,petto di pollo,Carne e affettati,45,43,5305.0,g
mela,mela,Ortofrutta,44,41,5610.0,g
fette_bianche,fette biscottate classiche,"Cereali, pane e derivati",44,41,1214.0,g
marmellata,confettura di frutta,Condimenti e dispensa,43,42,698.0,g
manzo_magro,manzo magro,Carne e affettati,43,42,5430.0,g
gallette_riso,gallette di riso,"Cereali, pane e derivati",41,40,846.0,g
nocciole,nocciole,Frutta secca e semi,41,37,416.0,g
salmone,salmone,Pesce,40,40,4670.0,g
cavolfiore,cavolfiore,Ortofrutta,39,37,5150.0,g
mandorle,mandorle,Frutta secca e semi,37,36,256.0,g
finocchio,finocchi,Ortofrutta,37,32,5430.0,g
couscous,couscous di semola secco,"Cereali, pane e derivati",36,35,2630.0,g
tacchino_affettato,fesa di tacchino a fette,Carne e affettati,33,32,1470.0,g
crackers,crackers classici,"Cereali, pane e derivati",33,32,688.0,g
radicchio,radicchio,Ortofrutta,33,33,4570.0,g
bresaola,bresaola,Carne e affettati,31,31,1020.0,g
broccoli,broccoli,Ortofrutta,31,30,4650.0,g
ceci,ceci cotti e sgocciolati,Legumi e conserve,29,29,2295.0,g
riso_jasmine,riso jasmine secco,"Cereali, pane e derivati",27,27,1545.0,g
arancia,arancia,Ortofrutta,26,24,3350.0,g
cornflakes,fiocchi di mais semplici,"Cereali, pane e derivati",25,25,841.0,g
ricotta,ricotta vaccina,Latticini e uova,25,25,1085.0,g
uovo,uovo intero,Latticini e uova,24,20,1530.0,g
carciofo,carciofi,Ortofrutta,24,22,2990.0,g
lupini,lupini scolati,Legumi e conserve,23,23,1250.0,g
melagrana,chicchi di melagrana,Ortofrutta,23,21,2760.0,g
avena,fiocchi d'avena,"Cereali, pane e derivati",23,23,753.0,g
