global_day,month,day_type,weekly_focus,meal_id,meal_type,time,original_recipe_version_id,selected_recipe_version_id,selected_recipe_title,changed,reasons
1,Settembre,D1,plant_pasta,base:meal:001:01,Colazione,06:30,base:recipe-version:pane-bianco-con-mozzarella-e-pomodoro:35fb5f2be15a587d,base:recipe-version:pane-bianco-con-mozzarella-e-pomodoro:35fb5f2be15a587d,Pane bianco con mozzarella e pomodoro,False,conservato
1,Settembre,D1,plant_pasta,base:meal:001:02,Spuntino,10:30,base:recipe-version:crackers-e-ricotta:b5e12fff16ac4003,base:recipe-version:frutta-e-mandorle:cf32a2fabea95479,Frutta e mandorle,True,riduzione_latticini | varieta_distribuzione
1,Settembre,D1,plant_pasta,base:meal:001:03,Pranzo,13:30,base:recipe-version:patate-con-crema-di-piselli-e-fagiolini:bd3f2ccd5bfa8ba0,base:recipe-version:v6-pasta-e-cannellini-con-spinaci:e4fd05f4eb3c7075,Pasta e cannellini con spinaci,True,riduzione_uova_albume | riduzione_latticini | backbone_vegetale_pasta
1,Settembre,D1,plant_pasta,base:meal:001:04,Spuntino,17:30,base:recipe-version:feta-cetriolo-e-crackers:6874564aabe8b391,base:recipe-version:kefir-e-frutta:9d9d38ab49b00b02,Kefir e frutta,True,riduzione_latticini | varieta_distribuzione
1,Settembre,D1,plant_pasta,base:meal:001:05,Cena,21:00,base:recipe-version:frittata-morbida-con-patate-e-carote:61be066e4bf7da40,base:recipe-version:v6-couscous-con-pollo-e-carote:d861a05c3d30d7fb,Couscous con pollo e carote,True,riduzione_uova_albume | varieta_distribuzione
2,Settembre,D2,rice_animal,base:meal:002:01,Colazione,09:00,base:recipe-version:uova-strapazzate-pane-bianco-e-frutta:a839660cc452be4b,base:recipe-version:uova-strapazzate-pane-bianco-e-frutta:a839660cc452be4b,"Uova strapazzate, pane bianco e frutta",False,conservato
2,Settembre,D2,rice_animal,base:meal:002:02,Pranzo,13:00,base:recipe-version:coniglio-con-patate-e-pomodori:1a88a8e3425ae336,base:recipe-version:curry-bianco-molto-delicato-di-pollo-e-zucca:be2bab570860f955,Curry bianco molto delicato di pollo e zucca,True,backbone_riso
2,Settembre,D2,rice_animal,base:meal:002:03,Pasto preturno,18:30,base:recipe-version:pane-bianco-con-prosciutto-cotto-primosale-e-pomodori:753b8e904a7654b7,base:recipe-version:coniglio-con-patate-e-spinaci:b4d852f99e5bbb06,Coniglio con patate e spinaci,True,riduzione_latticini | varieta_distribuzione
2,Settembre,D2,rice_animal,base:meal:002:04,Spuntino notturno,23:30,base:recipe-version:frutta-e-nocciole:400146dc9e9c56e4,base:recipe-version:banana-e-latte:a4b16218d9a8fc6e,Banana e latte,True,varieta_distribuzione
2,Settembre,D2,rice_animal,base:meal:002:05,Spuntino notturno,03:30,base:recipe-version:yogurt-bianco-e-banana:047824242ce72a93,base:recipe-version:yogurt-bianco-e-banana:047824242ce72a93,Yogurt bianco e banana,False,conservato
