recipe_id,title,occurrences,distinct_days,minimum_gap_days,median_gap_days
base:recipe:crackers-classici-con-hummus-delicato,Crackers classici con hummus delicato,20,20,8,8
base:recipe:mini-panino-bianco-con-bresaola,Mini panino bianco con bresaola,19,19,8,9.0
base:recipe:kefir-con-fette-classiche-e-confettura,Kefir con fette classiche e confettura,18,18,8,10
base:recipe:kefir-e-fette-classiche,Kefir e fette classiche,18,18,8,10
base:recipe:piccola-porzione-di-lupini-e-frutta,Piccola porzione di lupini e frutta,18,18,8,10
base:recipe:v6-fette-integrali-con-burro-di-arachidi-e-confettura,Fette integrali con burro di arachidi e confettura,17,17,8,10.0
base:recipe:frutta-e-mandorle,Frutta e mandorle,17,17,8,9.5
base:recipe:frutta-e-nocciole,Frutta e nocciole,17,17,8,9.5
base:recipe:kefir-e-frutta,Kefir e frutta,17,17,8,10.5
base:recipe:latte-e-gallette-di-riso,Latte e gallette di riso,17,17,8,9.5
base:recipe:v6-pane-integrale-con-hummus-e-spinaci,Pane integrale con hummus e spinaci,16,16,8,10
base:recipe:v6-yogurt-con-frutti-di-bosco-e-nocciole,Yogurt con frutti di bosco e nocciole,16,16,8,10
base:recipe:latte-e-frutta,Latte e frutta,15,15,8,11.5
base:recipe:v6-mini-panino-con-tacchino-e-spinaci,Mini panino con tacchino e spinaci,15,15,8,11.0
base:recipe:kefir-piccolo,Kefir piccolo,13,13,10,10.0
base:recipe:v6-crackers-integrali-con-hummus-e-carote,Crackers integrali con hummus e carote,12,12,10,15
base:recipe:latte-corn-flakes-e-frutta,"Latte, corn flakes e frutta",12,12,8,11
base:recipe:mini-panino-con-tacchino-a-fette,Mini panino con tacchino a fette,12,12,8,15
base:recipe:yogurt-bianco-e-banana,Yogurt bianco e banana,12,12,8,11
base:recipe:v6-gallette-di-riso-con-burro-di-arachidi-e-banana,Gallette di riso con burro di arachidi e banana,11,11,8,14.0
base:recipe:v6-kefir-con-banana-e-pistacchi,Kefir con banana e pistacchi,11,11,9,13.5
base:recipe:v6-mini-panino-con-bresaola-e-carote,Mini panino con bresaola e carote,11,11,8,11.0
base:recipe:frutta-in-porzione-piccola,Frutta in porzione piccola,10,10,9,10
base:recipe:v6c-brunch-completo-con-pane-integrale-salmone-e-radicchio,"Brunch completo con pane integrale, salmone e radicchio",9,9,10,13.0
