global_day,month,cycle,variant,day_in_variant,day_type,review_score,direct_hard_failures,direct_soft_warnings,hard_windows_touching,hard_kinds_touching,recipe_repeat_warnings,high_recipe_repeat_warnings,off_season_occurrences,egg_equivalent_units,dairy_meals,pasta_rice_primary_meals,plant_protein_main_meals,energy_kcal
1,Settembre,1,1,1,D1,0,[],[],0,{},0,0,0,0.0,1,1,1,1617.5
2,Settembre,1,1,2,D2,0,[],[],0,{},0,0,0,2.0,0,1,0,1709.8
3,Settembre,1,1,3,D3,0,[],[],0,{},0,0,0,0.0,0,1,1,1450.7
4,Settembre,1,1,4,D4,0,[],[],0,{},0,0,0,0.0,1,1,0,1633.2
5,Settembre,1,1,5,D5,0,[],[],0,{},0,0,0,0.0,0,1,1,1614.9
6,Settembre,1,2,1,D1,0,[],[],0,{},0,0,0,0.0,0,1,0,1611.6
7,Settembre,1,2,2,D2,0,[],[],0,{},0,0,0,1.0,0,0,0,1711.9
8,Settembre,1,2,3,D3,0,[],[],0,{},0,0,0,0.0,0,1,1,1463.8
9,Settembre,1,2,4,D4,0,[],[],0,{},0,0,0,0.0,1,1,0,1622.3
10,Settembre,1,2,5,D5,0,[],[],0,{},0,0,0,0.0,0,1,1,1655.3
11,Settembre,1,3,1,D1,0,[],[],0,{},0,0,0,0.0,1,2,0,1619.4
12,Settembre,1,3,2,D2,0,[],[],0,{},0,0,0,0.0,0,1,1,1709.6
13,Settembre,1,3,3,D3,0,[],[],0,{},0,0,0,0.0,0,1,0,1444.7
14,Settembre,1,3,4,D4,0,[],[],0,{},0,0,0,0.0,1,0,0,1606.7
15,Settembre,1,3,5,D5,0,[],[],0,{},0,0,0,0.0,0,1,1,1624.2
16,Settembre,1,4,1,D1,0,[],[],0,{},0,0,0,0.0,1,1,0,1611.5
17,Settembre,1,4,2,D2,0,[],[],0,{},0,0,0,0.0,0,1,1,1702.7
18,Settembre,1,4,3,D3,0,[],[],0,{},0,0,0,0.0,0,1,0,1461.6
19,Settembre,1,4,4,D4,0,[],[],0,{},0,0,0,1.0,1,1,1,1564.2
20,Settembre,1,4,5,D5,0,[],[],0,{},0,0,0,0.0,0,1,0,1673.2
21,Settembre,1,5,1,D1,0,[],[],0,{},0,0,0,2.0,1,0,0,1625.6
22,Settembre,1,5,2,D2,0,[],[],0,{},0,0,0,0.0,0,1,1,1704.3
23,Settembre,1,5,3,D3,0,[],[],0,{},0,0,0,0.0,0,1,0,1461.8
24,Settembre,1,5,4,D4,0,[],[],0,{},0,0,0,1.6,1,1,1,1608.8
