metric,key,phase_c,phase_c1,delta
ingredient,banana,87,55,-32
ingredient,pera,60,51,-9
ingredient,mela,44,34,-10
ingredient,carota,78,52,-26
ingredient,spinaci,74,51,-23
ingredient,zucca,53,42,-11
ingredient,hummus,50,24,-26
ingredient,ceci,29,21,-8
ingredient,lenticchie,16,19,3
ingredient,cannellini,9,32,23
ingredient,borlotti,5,14,9
ingredient,piselli,9,11,2
ingredient,fave,3,6,3
ingredient,lupini,23,30,7
ingredient,salmone,40,26,-14
ingredient,tonno_naturale,12,32,20
ingredient,sgombro,3,11,8
ingredient,trota,4,7,3
ingredient,sardine,0,12,12
ingredient,cozze,0,6,6
ingredient,polpo,0,6,6
ingredient,bresaola,31,16,-15
ingredient,tacchino_affettato,33,16,-17
ingredient,tacchino,54,45,-9
ingredient,pollo,45,40,-5
ingredient,manzo_magro,43,40,-3
ingredient,maiale_filetto,15,27,12
ingredient,coniglio,9,14,5
ingredient,burro_arachidi,46,32,-14
ingredient,barbabietola,0,11,11
ingredient,castagna,0,16,16
ingredient,cavoletti,0,14,14
ingredient,cicoria,0,7,7
ingredient,gnocchi,0,16,16
ingredient,indivia,0,26,26
ingredient,mais,0,15,15
ingredient,patata_dolce,0,22,22
ingredient,rapa,0,6,6
ingredient,semi_zucca,0,31,31
ingredient,tortilla,0,22,22
global,recipe_families_used,198,253,55
global,max_family_occurrences,20,12,-8
slot_families,Brunch,16,17,1
slot_families,Cena,61,78,17
slot_families,Colazione,32,41,9
slot_families,Mini-pasto pre-sonno,14,21,7
slot_families,Pasto preturno,24,25,1
slot_families,Pranzo,72,81,9
slot_families,Spuntino,32,58,26
slot_families,Spuntino notturno,25,32,7
