global_day,month,day_type,energy_kcal,reference_kcal,delta_pct,status
1,Settembre,D1,1667.48,1612.0,0.0344,OK
2,Settembre,D2,1700.97,1709.0,-0.0047,OK
3,Settembre,D3,1466.12,1467.0,-0.0006,OK
4,Settembre,D4,1627.35,1614.0,0.0083,OK
5,Settembre,D5,1586.71,1626.0,-0.0242,OK
6,Settembre,D1,1652.8,1612.0,0.0253,OK
7,Settembre,D2,1790.57,1709.0,0.0477,OK
8,Settembre,D3,1405.81,1467.0,-0.0417,OK
9,Settembre,D4,1549.41,1614.0,-0.04,OK
10,Settembre,D5,1640.27,1626.0,0.0088,OK
11,Settembre,D1,1597.08,1612.0,-0.0093,OK
12,Settembre,D2,1684.36,1709.0,-0.0144,OK
13,Settembre,D3,1461.04,1467.0,-0.0041,OK
14,Settembre,D4,1615.72,1614.0,0.0011,OK
15,Settembre,D5,1631.3,1626.0,0.0033,OK
16,Settembre,D1,1539.59,1612.0,-0.0449,OK
17,Settembre,D2,1694.57,1709.0,-0.0084,OK
18,Settembre,D3,1448.0,1467.0,-0.013,OK
19,Settembre,D4,1534.03,1614.0,-0.0495,OK
20,Settembre,D5,1594.24,1626.0,-0.0195,OK
21,Settembre,D1,1589.75,1612.0,-0.0138,OK
22,Settembre,D2,1787.88,1709.0,0.0462,OK
23,Settembre,D3,1421.26,1467.0,-0.0312,OK
24,Settembre,D4,1559.97,1614.0,-0.0335,OK
25,Settembre,D5,1567.69,1626.0,-0.0359,OK
26,Settembre,D1,1614.36,1612.0,0.0015,OK
27,Settembre,D2,1723.22,1709.0,0.0083,OK
28,Settembre,D3,1491.53,1467.0,0.0167,OK
29,Settembre,D4,1647.02,1614.0,0.0205,OK
30,Settembre,D5,1672.67,1626.0,0.0287,OK
31,Ottobre,D1,1634.46,1612.0,0.0139,OK
32,Ottobre,D2,1720.66,1709.0,0.0068,OK
33,Ottobre,D3,1441.43,1467.0,-0.0174,OK
34,Ottobre,D4,1675.89,1614.0,0.0383,OK
35,Ottobre,D5,1616.41,1626.0,-0.0059,OK
36,Ottobre,D1,1673.08,1612.0,0.0379,OK
37,Ottobre,D2,1756.27,1709.0,0.0277,OK
38,Ottobre,D3,1425.23,1467.0,-0.0285,OK
39,Ottobre,D4,1661.68,1614.0,0.0295,OK
40,Ottobre,D5,1702.36,1626.0,0.047,OK
41,Ottobre,D1,1542.67,1612.0,-0.043,OK
42,Ottobre,D2,1727.11,1709.0,0.0106,OK
43,Ottobre,D3,1404.88,1467.0,-0.0423,OK
44,Ottobre,D4,1675.97,1614.0,0.0384,OK
45,Ottobre,D5,1657.24,1626.0,0.0192,OK
46,Ottobre,D1,1619.18,1612.0,0.0045,OK
47,Ottobre,D2,1697.97,1709.0,-0.0065,OK
48,Ottobre,D3,1433.68,1467.0,-0.0227,OK
