ingredient_code,ingredient_name,category,meal_occurrences,distinct_days,total_base_quantity,base_unit
olio,olio extravergine di oliva,Condimenti e dispensa,362,180,2424.0,g
latte_ps,latte parzialmente scremato,Latticini e uova,85,77,16300.0,ml
kefir,kefir naturale,Latticini e uova,82,76,12800.0,ml
yogurt_bianco,yogurt bianco naturale,Latticini e uova,82,71,10365.0,g
pasta,pasta secca,"Cereali, pane e derivati",74,74,4890.0,g
pane_bianco,pane bianco comune,"Cereali, pane e derivati",65,62,3284.0,g
crackers,crackers classici,"Cereali, pane e derivati",55,49,1132.0,g
banana,banana,Ortofrutta,55,52,5150.0,g
carota,carote,Ortofrutta,52,45,6940.0,g
spinaci,spinaci,Ortofrutta,51,44,6240.0,g
pera,pera,Ortofrutta,51,46,6310.0,g
riso_basmati,riso basmati secco,"Cereali, pane e derivati",51,48,2815.0,g
patata,patate,"Cereali, pane e derivati",45,44,10255.0,g
polenta,farina di mais per polenta,"Cereali, pane e derivati",45,44,2815.0,g
tacchino,petto di tacchino,Carne e affettati,45,44,5545.0,g
zucca,zucca,Ortofrutta,42,41,7130.0,g
radicchio,radicchio,Ortofrutta,42,42,4610.0,g
pane_integrale,pane integrale,"Cereali, pane e derivati",41,36,2810.0,g
pollo,petto di pollo,Carne e affettati,40,39,4775.0,g
manzo_magro,manzo magro,Carne e affettati,40,39,5110.0,g
avena,fiocchi d'avena,"Cereali, pane e derivati",39,39,1363.0,g
nocciole,nocciole,Frutta secca e semi,38,35,374.0,g
mela,mela,Ortofrutta,34,32,4310.0,g
melagrana,chicchi di melagrana,Ortofrutta,34,31,3220.0,g
cavolfiore,cavolfiore,Ortofrutta,34,32,4540.0,g
cannellini,cannellini cotti e sgocciolati,Legumi e conserve,32,29,2075.0,g
burro_arachidi,burro di arachidi 100%,Frutta secca e semi,32,32,536.0,g
tonno_naturale,tonno al naturale sgocciolato,Pesce,32,31,2510.0,g
semi_zucca,semi di zucca,Frutta secca e semi,31,28,292.0,g
lupini,lupini scolati,Legumi e conserve,30,30,1680.0,g
couscous,couscous di semola secco,"Cereali, pane e derivati",30,29,2260.0,g
fette_bianche,fette biscottate classiche,"Cereali, pane e derivati",30,29,816.0,g
pane_segale,pane di segale,"Cereali, pane e derivati",29,29,1320.0,g
broccoli,broccoli,Ortofrutta,29,27,4350.0,g
finocchio,finocchi,Ortofrutta,29,26,4220.0,g
mandorle,mandorle,Frutta secca e semi,28,28,196.0,g
cornflakes,fiocchi di mais semplici,"Cereali, pane e derivati",27,26,904.0,g
maiale_filetto,filetto di maiale,Carne e affettati,27,27,3550.0,g
kiwi,kiwi,Ortofrutta,27,26,3260.0,g
marmellata,confettura di frutta,Condimenti e dispensa,26,25,404.0,g
indivia,indivia,Ortofrutta,26,21,2210.0,g
salmone,salmone,Pesce,26,26,3010.0,g
uovo,uovo intero,Latticini e uova,24,21,1530.0,g
riso_jasmine,riso jasmine secco,"Cereali, pane e derivati",24,24,1395.0,g
hummus,hummus semplice senza spezie piccanti,Legumi e conserve,24,23,990.0,g
mandarino,mandarini o clementine,Ortofrutta,24,23,3170.0,g
arancia,arancia,Ortofrutta,23,21,3040.0,g
carciofo,carciofi,Ortofrutta,23,21,2820.0,g
patata_dolce,patata dolce,"Cereali, pane e derivati",22,20,2960.0,g
tortilla,tortilla di frumento,"Cereali, pane e derivati",22,20,900.0,g
ceci,ceci cotti e sgocciolati,Legumi e conserve,21,21,1655.0,g
gallette_riso,gallette di riso,"Cereali, pane e derivati",21,20,468.0,g
bietola,bietole,Ortofrutta,19,17,2810.0,g
lenticchie,lenticchie cotte e sgocciolate,Legumi e conserve,19,19,1425.0,g
salsa_soia,salsa di soia delicata,Condimenti e dispensa,19,19,104.0,g
farro,farro secco,"Cereali, pane e derivati",17,17,1415.0,g
tacchino_affettato,fesa di tacchino a fette,Carne e affettati,16,16,685.0,g
bresaola,bresaola,Carne e affettati,16,16,510.0,g
gnocchi,gnocchi di patate,"Cereali, pane e derivati",16,15,3220.0,g
merluzzo,merluzzo,Pesce,16,16,2230.0,g
castagna,castagne arrostite,Frutta secca e semi,16,15,910.0,g
mais,mais dolce sgocciolato,Ortofrutta,15,13,1060.0,g
coniglio,coniglio disossato,Carne e affettati,14,14,1860.0,g
borlotti,borlotti cotti e sgocciolati,Legumi e conserve,14,14,1000.0,g
cavoletti,cavoletti di Bruxelles,Ortofrutta,14,11,1830.0,g
pompelmo,pompelmo,Ortofrutta,14,12,1770.0,g
miele,miele,Condimenti e dispensa,13,13,74.0,g
semolino,semolino di frumento,"Cereali, pane e derivati",13,13,600.0,g
pistacchi,pistacchi non salati,Frutta secca e semi,13,13,180.0,g
sardine,sardine,Pesce,12,12,800.0,g
orzo,orzo perlato secco,"Cereali, pane e derivati",12,11,875.0,g
frutti_bosco,"frutti di bosco, anche surgelati",Ortofrutta,12,12,1200.0,g
ricotta,ricotta vaccina,Latticini e uova,12,12,545.0,g
barbabietola,barbabietola,Ortofrutta,11,11,1590.0,g
zucchina,zucchine,Ortofrutta,11,10,1840.0,g
piselli,piselli cotti,Legumi e conserve,11,11,1265.0,g
sgombro,sgombro,Pesce,11,11,770.0,g
cachi,cachi,Ortofrutta,11,10,1260.0,g
cavolo_nero,cavolo nero,Ortofrutta,11,11,1430.0,g
funghi,funghi,Ortofrutta,10,10,1620.0,g
pangrattato,pangrattato,"Cereali, pane e derivati",10,10,123.0,g
cavolo_cappuccio,cavolo cappuccio,Ortofrutta,10,9,1500.0,g
riso_integrale,riso integrale secco,"Cereali, pane e derivati",9,9,505.0,g
gamberi,gamberi,Pesce,9,9,900.0,g
noci,noci,Frutta secca e semi,9,9,66.0,g
fette_integrali,fette biscottate integrali,"Cereali, pane e derivati",8,8,280.0,g
albume,albume,Latticini e uova,8,8,640.0,g
passata,passata di pomodoro,Condimenti e dispensa,8,8,880.0,g
uva,uva,Ortofrutta,7,7,820.0,g
crackers_integrali,crackers integrali,"Cereali, pane e derivati",7,7,245.0,g
trota,trota,Pesce,7,7,900.0,g
nasello,nasello,Pesce,7,7,1050.0,g
cicoria,cicoria,Ortofrutta,7,5,830.0,g
orata,orata,Pesce,6,6,960.0,g
polpo,polpo,Pesce,6,6,1000.0,g
cozze,"cozze, parte edibile",Pesce,6,6,1220.0,g
