title,role,meal_types,ingredients,season_months,kcal,protein_g,fiber_g,curated_occurrences
Yogurt con melagrana e semi di zucca,breakfast_snack,Colazione | Spuntino | Spuntino notturno,yogurt_bianco 150g | melagrana 90g | semi_zucca 10g,"9,10,11,12,1",225.1,10.5,4.2,3
Kefir con kiwi e semi di zucca,breakfast_snack,Colazione | Spuntino | Spuntino notturno,kefir 180g | kiwi 120g | semi_zucca 10g,"11,12,1,2",228.1,10.6,4.2,1
"Latte, avena e melagrana",breakfast_snack,Colazione,latte_ps 220g | avena 35g | melagrana 100g,"9,10,11,12,1",320.4,14.9,7.7,1
"Yogurt, avena e mandarino",breakfast_snack,Colazione,yogurt_bianco 170g | avena 35g | mandarino 150g,"11,12,1,2",322.8,13.9,6.4,0
Kefir con castagne e kiwi,breakfast_snack,Colazione | Mini-pasto pre-sonno,kefir 170g | castagna 65g | kiwi 110g,"11,12,1,2",290.6,9.1,6.5,0
Yogurt con cachi e fiocchi di avena,breakfast_snack,Colazione,yogurt_bianco 170g | cachi 130g | avena 30g,"10,11,12",314.8,12.7,7.9,2
Latte e semolino con arancia,breakfast_snack,Colazione,latte_ps 220g | semolino 45g | arancia 140g,"11,12,1,2",329.0,13.9,5.0,0
Kefir con melagrana e avena,breakfast_snack,Colazione,kefir 180g | melagrana 100g | avena 30g,"9,10,11,12,1",298.7,13.1,7.2,2
Kiwi e semi di zucca,breakfast_snack,Spuntino | Spuntino notturno,kiwi 150g | semi_zucca 12g,"11,12,1,2",158.6,5.2,5.2,4
Arancia e semi di zucca,breakfast_snack,Spuntino | Spuntino notturno,arancia 150g | semi_zucca 10g,"11,12,1,2",126.4,4.3,4.2,4
Melagrana e nocciole,breakfast_snack,Spuntino | Spuntino notturno,melagrana 100g | nocciole 10g,"9,10,11,12,1",145.8,3.2,5.0,5
Mandarini e pistacchi,breakfast_snack,Spuntino | Spuntino notturno,mandarino 150g | pistacchi 12g,"11,12,1,2",146.9,3.6,3.9,5
Castagne in porzione piccola,breakfast_snack,Spuntino | Spuntino notturno,castagna 70g,"10,11,12,1,2",140.0,2.1,3.5,4
Kefir e melagrana,breakfast_snack,Spuntino | Spuntino notturno,kefir 150g | melagrana 80g,"9,10,11,12,1",148.9,6.6,3.2,4
Yogurt e kiwi,breakfast_snack,Spuntino | Spuntino notturno,yogurt_bianco 125g | kiwi 100g,"11,12,1,2",139.8,6.1,3.0,1
Latte e cachi,breakfast_snack,Spuntino | Spuntino notturno,latte_ps 150g | cachi 100g,"10,11,12",139.0,5.5,3.6,4
Crackers con tonno al naturale,savory_snack,Spuntino | Spuntino notturno | Mini-pasto pre-sonno,crackers 25g | tonno_naturale 60g,"9,10,11,12,1,2",177.1,17.9,0.8,4
Pane di segale con tonno e indivia,savory_snack,Spuntino | Mini-pasto pre-sonno,pane_segale 35g | tonno_naturale 60g | indivia 60g,"9,10,11,12,1,2",170.4,19.4,3.9,4
Mini tortilla con tonno e indivia,savory_snack,Spuntino | Mini-pasto pre-sonno,tortilla 40g | tonno_naturale 60g | indivia 60g,"9,10,11,12,1,2",203.8,19.6,3.1,5
Mini tortilla con cannellini e radicchio,savory_snack,Spuntino | Mini-pasto pre-sonno,tortilla 40g | cannellini 55g | radicchio 60g,"10,11,12,1,2",207.7,8.8,5.3,7
Patata dolce e semi di zucca,savory_snack,Spuntino | Mini-pasto pre-sonno,patata_dolce 130g | semi_zucca 8g,"9,10,11,12,1,2",156.5,4.5,4.4,7
Mais e tonno in coppetta,savory_snack,Spuntino | Spuntino notturno,mais 80g | tonno_naturale 60g,"9,10,11,12,1,2",138.4,18.3,2.2,5
Crackers con crema semplice di cannellini,savory_snack,Spuntino | Spuntino notturno,crackers 25g | cannellini 60g,"9,10,11,12,1,2",183.7,7.5,4.6,6
Pane di segale con sardine e radicchio,savory_snack,Mini-pasto pre-sonno | Pasto preturno,pane_segale 40g | sardine 80g | radicchio 70g,"10,11,12,1,2",286.1,24.4,3.0,2
"Tortilla con cannellini, mais e indivia",savory_snack,Mini-pasto pre-sonno | Pasto preturno,tortilla 50g | cannellini 70g | mais 50g | indivia 80g | olio 4g,"9,10,11,12,1,2",335.9,12.8,9.8,2
Patata dolce con yogurt bianco,savory_snack,Spuntino | Mini-pasto pre-sonno,patata_dolce 150g | yogurt_bianco 125g,"9,10,11,12,1,2",207.8,7.4,4.5,3
Pasta e borlotti con cicoria,plant_pasta,Pranzo | Cena | Pasto preturno,pasta 60g | borlotti 80g | cicoria 120g | olio 7g,"10,11,12,1,2",402.9,16.7,11.4,0
Riso e cannellini con barbabietola,plant_rice,Pranzo | Cena | Pasto preturno,riso_basmati 65g | cannellini 80g | barbabietola 150g | olio 7g,"9,10,11,12,1,2",459.4,14.6,10.3,1
Pasta e lenticchie con cavoletti,plant_pasta,Pranzo | Cena | Pasto preturno,pasta 60g | lenticchie 70g | cavoletti 110g | olio 8g,"10,11,12,1,2",411.0,17.5,11.6,1
Riso e borlotti con indivia,plant_rice,Pranzo | Cena | Pasto preturno,riso_jasmine 65g | borlotti 80g | indivia 150g | olio 7g,"9,10,11,12,1,2",420.4,14.0,10.1,1
Gnocchi con cannellini e radicchio,plant_other,Pranzo | Cena | Pasto preturno,gnocchi 180g | cannellini 80g | radicchio 120g | olio 7g,"10,11,12,1,2",461.1,14.9,9.8,0
Polenta con lenticchie e rape,plant_other,Pranzo | Cena | Pasto preturno,polenta 65g | lenticchie 70g | rapa 150g | olio 7g,"10,11,12,1,2",419.1,12.8,10.6,0
Farro con lupini e barbabietola,plant_other,Pranzo | Cena | Pasto preturno,farro 60g | lupini 70g | barbabietola 150g | olio 7g,"9,10,11,12,1,2",413.7,22.3,10.4,0
Couscous con fave e cicoria,plant_other,Pranzo | Cena | Pasto preturno,couscous 65g | fave 80g | cicoria 100g | olio 7g,"10,11,12,1,2",406.9,15.6,10.3,0
Gnocchi con lupini e cavoletti,plant_other,Pranzo | Cena | Pasto preturno,gnocchi 180g | lupini 55g | cavoletti 100g | olio 7g,"10,11,12,1,2",440.3,18.3,8.9,3
"Tortilla con cannellini, mais e indivia - piatto unico",plant_other,Pranzo | Cena | Pasto preturno,tortilla 55g | cannellini 80g | mais 70g | indivia 100g | olio 7g,"9,10,11,12,1,2",411.2,15.0,11.8,0
Riso e fave con carciofi,plant_rice,Pranzo | Cena | Pasto preturno,riso_basmati 65g | fave 80g | carciofo 100g | olio 7g,"11,12,1,2",428.3,14.6,10.7,1
Pasta e borlotti con cavolo cappuccio,plant_pasta,Pranzo | Cena | Pasto preturno,pasta 60g | borlotti 80g | cavolo_cappuccio 120g | olio 7g,"10,11,12,1,2",405.3,16.3,9.6,0
Riso e lenticchie con rape,plant_rice,Pranzo | Cena | Pasto preturno,riso_integrale 65g | lenticchie 70g | rapa 150g | olio 7g,"10,11,12,1,2",419.1,12.5,10.6,2
Patata dolce con lupini e bietole,plant_other,Pranzo | Cena | Pasto preturno,patata_dolce 220g | lupini 55g | bietola 100g | pane_bianco 35g | olio 7g,"9,10,11,12,1,2",428.3,16.9,10.7,1
Pasta con sardine e cicoria,pasta_animal,Pranzo | Cena | Pasto preturno,pasta 65g | sardine 90g | cicoria 120g | olio 7g,"10,11,12,1,2",506.1,32.7,6.8,0
Riso basmati con polpo e indivia,main_other,Pranzo | Cena | Pasto preturno,riso_basmati 70g | polpo 160g | indivia 150g | olio 8g,"9,10,11,12,1,2",476.6,31.6,5.7,2
Orzo con cozze e cavoletti,main_other,Pranzo | Cena | Pasto preturno,orzo 65g | cozze 180g | cavoletti 140g | olio 7g,"10,11,12,1,2",507.0,34.2,11.2,3
Farro con coniglio e barbabietola,main_other,Pranzo | Cena | Pasto preturno,farro 65g | coniglio 130g | barbabietola 150g | olio 7g,"9,10,11,12,1,2",524.2,39.5,8.8,3
Couscous con maiale e rape,main_other,Pranzo | Cena | Pasto preturno,couscous 65g | maiale_filetto 130g | rapa 150g | olio 7g,"10,11,12,1,2",523.8,37.8,4.7,3
Riso jasmine con trota e cicoria,main_other,Pranzo | Cena | Pasto preturno,riso_jasmine 65g | trota 120g | cicoria 140g | olio 7g,"10,11,12,1,2",503.1,31.9,6.2,2
Gnocchi con merluzzo e cavolo cappuccio,main_other,Pranzo | Cena | Pasto preturno,gnocchi 200g | merluzzo 120g | cavolo_cappuccio 150g | olio 7g,"10,11,12,1,2",497.8,30.6,7.8,5
Patata dolce con tacchino e cavoletti,main_other,Pranzo | Cena | Pasto preturno,patata_dolce 180g | tacchino 140g | cavoletti 120g | olio 9g,"10,11,12,1,2",440.0,40.6,10.0,1
Polenta con sgombro e indivia,main_other,Pranzo | Cena | Pasto preturno,polenta 60g | sgombro 100g | indivia 140g | olio 7g,"10,11,12,1,2",506.7,25.6,6.4,2
Pasta integrale con coniglio e cicoria,pasta_animal,Pranzo | Cena | Pasto preturno,pasta_integrale 65g | coniglio 130g | cicoria 120g | olio 7g,"10,11,12,1,2",493.8,37.8,10.0,0
