recipe_id,title,occurrences,distinct_days,minimum_gap_days,median_gap_days
base:recipe:frutta-e-mandorle,Frutta e mandorle,12,12,8,14
base:recipe:frutta-e-nocciole,Frutta e nocciole,12,12,8,10
base:recipe:kefir-con-fette-classiche-e-confettura,Kefir con fette classiche e confettura,12,12,8,10
base:recipe:kefir-e-fette-classiche,Kefir e fette classiche,12,12,8,10
base:recipe:kefir-e-frutta,Kefir e frutta,12,12,8,10
base:recipe:kefir-piccolo,Kefir piccolo,12,12,10,10
base:recipe:latte-e-frutta,Latte e frutta,12,12,8,13
base:recipe:latte-e-gallette-di-riso,Latte e gallette di riso,12,12,8,9
base:recipe:v6-yogurt-con-frutti-di-bosco-e-nocciole,Yogurt con frutti di bosco e nocciole,12,12,8,11
base:recipe:crackers-classici-con-hummus-delicato,Crackers classici con hummus delicato,11,11,8,8.0
base:recipe:mini-panino-bianco-con-bresaola,Mini panino bianco con bresaola,10,10,8,9
base:recipe:frutta-in-porzione-piccola,Frutta in porzione piccola,9,9,9,10.0
base:recipe:mini-panino-con-tacchino-a-fette,Mini panino con tacchino a fette,9,9,8,15.0
base:recipe:v6c-brunch-completo-con-polenta-manzo-e-broccoli,"Brunch completo con polenta, manzo e broccoli",8,8,10,15
base:recipe:v6c1-crackers-con-sardine,Crackers con sardine,8,8,11,21
base:recipe:v6-fette-integrali-con-burro-di-arachidi-e-confettura,Fette integrali con burro di arachidi e confettura,8,8,8,17
base:recipe:v6-gallette-di-riso-con-burro-di-arachidi-e-banana,Gallette di riso con burro di arachidi e banana,8,8,8,15
base:recipe:v6-kefir-con-banana-e-pistacchi,Kefir con banana e pistacchi,8,8,9,14
base:recipe:latte-corn-flakes-e-frutta,"Latte, corn flakes e frutta",8,8,8,22
base:recipe:v6c1-mais-cannellini-e-crackers,"Mais, cannellini e crackers",8,8,8,11
base:recipe:v6c1-mini-tortilla-con-lupini-e-indivia,Mini tortilla con lupini e indivia,8,8,9,10
base:recipe:v6-pane-di-segale-burro-di-arachidi-e-pera,"Pane di segale, burro di arachidi e pera",8,8,8,18
base:recipe:piccola-porzione-di-lupini-e-frutta,Piccola porzione di lupini e frutta,8,8,8,10
base:recipe:semolino-al-latte-con-frutta,Semolino al latte con frutta,8,8,8,18
base:recipe:yogurt-bianco-e-banana,Yogurt bianco e banana,8,8,8,10
base:recipe:v6-yogurt-con-avena-e-pera,Yogurt con avena e pera,8,8,8,17
base:recipe:banana-e-latte,Banana e latte,7,7,9,17.5
base:recipe:v6-couscous-con-gamberi-e-broccoli,Couscous con gamberi e broccoli,7,7,9,23.0
base:recipe:v6-crackers-integrali-con-hummus-e-carote,Crackers integrali con hummus e carote,7,7,10,23.0
