start_global_day,end_global_day,start_month,end_month,egg_equivalent_units,egg_limit,dairy_meals,dairy_limit,pasta_rice_primary_meals,pasta_primary_meals,rice_primary_meals,pasta_rice_min,plant_protein_main_meals,plant_protein_min,hard_ok,hard_failures,protein_concentration_warnings,ingredient_concentration_warnings,pasta_rice_balance_warnings
1,7,Settembre,Settembre,3.0,6.0,0,4,6,3,3,5,3,3,yes,[],[],[],[]
2,8,Settembre,Settembre,3.0,6.0,0,4,6,3,3,5,3,3,yes,[],[],[],[]
3,9,Settembre,Settembre,2.6,6.0,0,4,6,3,3,5,3,3,yes,[],[],[],[]
4,10,Settembre,Settembre,2.6,6.0,0,4,6,3,3,5,3,3,yes,[],[],[],[]
5,11,Settembre,Settembre,2.6,6.0,0,4,7,3,4,5,3,3,yes,[],[],[],[]
6,12,Settembre,Settembre,4.6,6.0,0,4,7,3,4,5,3,3,yes,[],[],[],[]
7,13,Settembre,Settembre,4.6,6.0,0,4,7,3,4,5,3,3,yes,[],[],[],[]
8,14,Settembre,Settembre,4.6,6.0,0,4,7,3,4,5,3,3,yes,[],[],[],[]
9,15,Settembre,Settembre,4.6,6.0,0,4,7,3,4,5,3,3,yes,[],[],[],[]
10,16,Settembre,Settembre,3.0,6.0,0,4,7,3,4,5,3,3,yes,[],[],[],[]
11,17,Settembre,Settembre,3.0,6.0,0,4,7,3,4,5,3,3,yes,[],[],[],[]
12,18,Settembre,Settembre,2.0,6.0,0,4,6,3,3,5,3,3,yes,[],[],[],[]
13,19,Settembre,Settembre,0.0,6.0,0,4,6,3,3,5,3,3,yes,[],[],[],[]
14,20,Settembre,Settembre,0.0,6.0,0,4,6,3,3,5,3,3,yes,[],[],[],[]
15,21,Settembre,Settembre,2.0,6.0,0,4,6,3,3,5,3,3,yes,[],[],[],[]
16,22,Settembre,Settembre,2.0,6.0,0,4,6,3,3,5,3,3,yes,[],[],[],[]
17,23,Settembre,Settembre,2.0,6.0,0,4,6,3,3,5,3,3,yes,[],[],[],[]
18,24,Settembre,Settembre,3.6,6.0,0,4,6,3,3,5,3,3,yes,[],[],[],[]
19,25,Settembre,Settembre,4.6,6.0,0,4,6,3,3,5,3,3,yes,[],[],[],[]
20,26,Settembre,Settembre,4.6,6.0,0,4,6,3,3,5,3,3,yes,[],[],[],[]
21,27,Settembre,Settembre,4.6,6.0,0,4,6,3,3,5,3,3,yes,[],[],[],[]
22,28,Settembre,Settembre,2.6,6.0,0,4,6,3,3,5,3,3,yes,[],[],[],[]
23,29,Settembre,Settembre,2.6,6.0,0,4,6,3,3,5,3,3,yes,[],[],[],[]
24,30,Settembre,Settembre,2.6,6.0,0,4,6,3,3,5,3,3,yes,[],[],[],[]
25,31,Settembre,Ottobre,1.0,6.0,0,4,6,3,3,5,3,3,yes,[],[],[],[]
26,32,Settembre,Ottobre,0.0,6.0,0,4,6,3,3,5,3,3,yes,[],[],[],[]
27,33,Settembre,Ottobre,0.0,6.0,0,4,6,3,3,5,3,3,yes,[],[],[],[]
28,34,Settembre,Ottobre,2.0,6.0,0,4,6,3,3,5,3,3,yes,[],[],[],[]
29,35,Settembre,Ottobre,2.0,6.0,0,4,6,3,3,5,3,3,yes,[],[],[],[]
30,36,Settembre,Ottobre,4.0,6.0,0,4,6,3,3,5,3,3,yes,[],[],[],[]
31,37,Ottobre,Ottobre,4.0,6.0,0,4,6,3,3,5,3,3,yes,[],[],[],[]
32,38,Ottobre,Ottobre,4.0,6.0,0,4,6,3,3,5,3,3,yes,[],[],[],[]
