global_day,month,day_type,dairy_portions,dairy_types,status
1,Settembre,D1,1,ricotta,OK
2,Settembre,D2,0,,OK
3,Settembre,D3,0,,OK
4,Settembre,D4,1,ricotta,OK
5,Settembre,D5,0,,OK
6,Settembre,D1,1,grana,OK
7,Settembre,D2,0,,OK
8,Settembre,D3,1,robiola,OK
9,Settembre,D4,0,,OK
10,Settembre,D5,0,,OK
11,Settembre,D1,1,robiola,OK
12,Settembre,D2,0,,OK
13,Settembre,D3,1,grana,OK
14,Settembre,D4,0,,OK
15,Settembre,D5,1,mozzarella,OK
16,Settembre,D1,0,,OK
17,Settembre,D2,0,,OK
18,Settembre,D3,1,mozzarella,OK
19,Settembre,D4,0,,OK
20,Settembre,D5,1,grana,OK
21,Settembre,D1,0,,OK
22,Settembre,D2,1,feta,OK
23,Settembre,D3,0,,OK
24,Settembre,D4,0,,OK
25,Settembre,D5,1,feta,OK
26,Settembre,D1,0,,OK
27,Settembre,D2,1,grana,OK
28,Settembre,D3,0,,OK
29,Settembre,D4,1,fiocchi_latte,OK
30,Settembre,D5,0,,OK
31,Ottobre,D1,0,,OK
32,Ottobre,D2,1,fiocchi_latte,OK
33,Ottobre,D3,0,,OK
34,Ottobre,D4,1,grana,OK
35,Ottobre,D5,0,,OK
36,Ottobre,D1,1,primosale,OK
37,Ottobre,D2,0,,OK
38,Ottobre,D3,0,,OK
39,Ottobre,D4,1,primosale,OK
40,Ottobre,D5,0,,OK
41,Ottobre,D1,1,grana,OK
42,Ottobre,D2,0,,OK
43,Ottobre,D3,1,primosale,OK
44,Ottobre,D4,0,,OK
45,Ottobre,D5,0,,OK
46,Ottobre,D1,1,primosale,OK
47,Ottobre,D2,0,,OK
48,Ottobre,D3,1,grana,OK
49,Ottobre,D4,0,,OK
50,Ottobre,D5,1,robiola,OK
51,Ottobre,D1,0,,OK
52,Ottobre,D2,0,,OK
53,Ottobre,D3,1,robiola,OK
54,Ottobre,D4,0,,OK
55,Ottobre,D5,1,grana,OK
56,Ottobre,D1,0,,OK
57,Ottobre,D2,1,mozzarella,OK
58,Ottobre,D3,0,,OK
59,Ottobre,D4,0,,OK
60,Ottobre,D5,1,mozzarella,OK
61,Novembre,D1,0,,OK
62,Novembre,D2,1,grana,OK
63,Novembre,D3,0,,OK
64,Novembre,D4,1,feta,OK
65,Novembre,D5,0,,OK
66,Novembre,D1,0,,OK
67,Novembre,D2,1,feta,OK
68,Novembre,D3,0,,OK
69,Novembre,D4,1,grana,OK
70,Novembre,D5,0,,OK
71,Novembre,D1,1,fiocchi_latte,OK
72,Novembre,D2,0,,OK
73,Novembre,D3,0,,OK
74,Novembre,D4,1,fiocchi_latte,OK
75,Novembre,D5,0,,OK
76,Novembre,D1,1,grana,OK
77,Novembre,D2,0,,OK
78,Novembre,D3,1,ricotta,OK
79,Novembre,D4,0,,OK
80,Novembre,D5,0,,OK
81,Novembre,D1,1,ricotta,OK
82,Novembre,D2,0,,OK
83,Novembre,D3,1,grana,OK
84,Novembre,D4,0,,OK
85,Novembre,D5,1,ricotta,OK
86,Novembre,D1,0,,OK
87,Novembre,D2,0,,OK
88,Novembre,D3,1,ricotta,OK
89,Novembre,D4,0,,OK
90,Novembre,D5,1,grana,OK
91,Dicembre,D1,0,,OK
92,Dicembre,D2,1,robiola,OK
93,Dicembre,D3,0,,OK
94,Dicembre,D4,0,,OK
95,Dicembre,D5,1,robiola,OK
96,Dicembre,D1,0,,OK
97,Dicembre,D2,1,grana,OK
98,Dicembre,D3,0,,OK
99,Dicembre,D4,1,mozzarella,OK
100,Dicembre,D5,0,,OK
101,Dicembre,D1,0,,OK
102,Dicembre,D2,1,mozzarella,OK
103,Dicembre,D3,0,,OK
104,Dicembre,D4,1,grana,OK
105,Dicembre,D5,0,,OK
106,Dicembre,D1,1,feta,OK
107,Dicembre,D2,0,,OK
108,Dicembre,D3,0,,OK
109,Dicembre,D4,1,feta,OK
110,Dicembre,D5,0,,OK
111,Dicembre,D1,1,grana,OK
