global_day,month,cycle,variant,day_in_variant,day_type,meal_count,egg_equivalent_units,dairy_meals,pasta_rice_primary_meals,plant_protein_main_meals,energy_kcal,energy_reference_kcal,energy_delta_kcal,energy_delta_pct,direct_hard_failures,direct_soft_warnings,hard_windows_touching,hard_kinds_touching,soft_windows_touching,recipe_repeat_warnings,high_recipe_repeat_warnings,off_season_occurrences,review_score
1,Settembre,1,1,1,D1,5,0.0,1,1,1,1592.1,1612.0,-19.9,-0.0123,[],[],0,{},0,0,0,0,0
2,Settembre,1,1,2,D2,6,2.0,0,1,0,1722.6,1709.0,13.6,0.0079,[],[],0,{},0,0,0,0,0
3,Settembre,1,1,3,D3,3,0.0,0,1,1,1466.1,1467.0,-0.9,-0.0006,[],[],0,{},0,0,0,0,0
4,Settembre,1,1,4,D4,5,1.0,1,1,0,1610.2,1614.0,-3.8,-0.0024,[],[],0,{},0,0,0,0,0
5,Settembre,1,1,5,D5,5,0.0,0,1,1,1642.1,1626.0,16.1,0.0099,[],[],0,{},0,0,0,0,0
6,Settembre,1,2,1,D1,5,0.0,1,1,0,1605.3,1612.0,-6.7,-0.0042,[],[],0,{},0,0,0,0,0
7,Settembre,1,2,2,D2,6,0.0,0,0,0,1790.6,1709.0,81.6,0.0477,[],[],0,{},0,0,0,0,0
8,Settembre,1,2,3,D3,3,0.0,1,1,1,1414.9,1467.0,-52.1,-0.0355,[],[],0,{},0,0,0,0,0
9,Settembre,1,2,4,D4,5,1.6,0,1,0,1622.7,1614.0,8.7,0.0054,[],[],0,{},0,0,0,0,0
10,Settembre,1,2,5,D5,5,0.0,0,1,1,1640.3,1626.0,14.3,0.0088,[],[],0,{},0,0,0,0,0
11,Settembre,1,3,1,D1,5,0.0,1,2,0,1601.1,1612.0,-10.9,-0.0068,[],[],0,{},0,0,0,0,0
12,Settembre,1,3,2,D2,6,2.0,0,1,1,1707.6,1709.0,-1.4,-0.0008,[],[],0,{},0,0,0,0,0
13,Settembre,1,3,3,D3,3,0.0,1,1,0,1503.7,1467.0,36.7,0.025,[],[],0,{},0,0,0,0,0
14,Settembre,1,3,4,D4,5,0.0,0,0,0,1615.7,1614.0,1.7,0.0011,[],[],0,{},0,0,0,0,0
15,Settembre,1,3,5,D5,5,0.0,1,1,1,1626.6,1626.0,0.6,0.0004,[],[],0,{},0,0,0,0,0
16,Settembre,1,4,1,D1,5,0.0,0,1,0,1612.8,1612.0,0.8,0.0005,[],[],0,{},0,0,0,0,0
17,Settembre,1,4,2,D2,6,0.0,0,1,1,1694.6,1709.0,-14.4,-0.0084,[],[],0,{},0,0,0,0,0
18,Settembre,1,4,3,D3,3,0.0,1,1,0,1485.2,1467.0,18.2,0.0124,[],[],0,{},0,0,0,0,0
19,Settembre,1,4,4,D4,5,0.0,0,1,1,1599.9,1614.0,-14.1,-0.0087,[],[],0,{},0,0,0,0,0
20,Settembre,1,4,5,D5,5,0.0,1,1,0,1627.4,1626.0,1.4,0.0009,[],[],0,{},0,0,0,0,0
21,Settembre,1,5,1,D1,5,2.0,0,0,0,1589.8,1612.0,-22.2,-0.0138,[],[],0,{},0,0,0,0,0
22,Settembre,1,5,2,D2,6,0.0,1,1,1,1711.9,1709.0,2.9,0.0017,[],[],0,{},0,0,0,0,0
23,Settembre,1,5,3,D3,3,0.0,0,1,0,1458.8,1467.0,-8.2,-0.0056,[],[],0,{},0,0,0,0,0
24,Settembre,1,5,4,D4,5,1.6,0,1,1,1560.0,1614.0,-54.0,-0.0335,[],[],0,{},0,0,0,0,0
25,Settembre,1,5,5,D5,5,1.0,1,1,0,1631.4,1626.0,5.4,0.0033,[],[],0,{},0,0,0,0,0
26,Settembre,1,6,1,D1,5,0.0,0,1,1,1613.5,1612.0,1.5,0.0009,[],[],0,{},0,0,0,0,0
27,Settembre,1,6,2,D2,6,0.0,1,1,0,1722.6,1709.0,13.6,0.0079,[],[],0,{},0,0,0,0,0
28,Settembre,1,6,3,D3,3,0.0,0,0,0,1491.5,1467.0,24.5,0.0167,[],[],0,{},0,0,0,0,0
29,Settembre,1,6,4,D4,5,0.0,1,1,1,1620.7,1614.0,6.7,0.0042,[],[],0,{},0,0,0,0,0
30,Settembre,1,6,5,D5,5,0.0,0,1,0,1626.2,1626.0,0.2,0.0001,[],[],0,{},0,0,0,0,0
31,Ottobre,2,1,1,D1,5,0.0,0,1,1,1634.5,1612.0,22.5,0.0139,[],[],0,{},0,0,0,0,0
32,Ottobre,2,1,2,D2,6,0.0,1,1,0,1718.4,1709.0,9.4,0.0055,[],[],0,{},0,0,0,0,0
33,Ottobre,2,1,3,D3,3,0.0,0,1,1,1460.3,1467.0,-6.7,-0.0046,[],[],0,{},0,0,0,0,0
34,Ottobre,2,1,4,D4,5,2.0,1,1,0,1637.2,1614.0,23.2,0.0144,[],[],0,{},0,0,0,0,0
35,Ottobre,2,1,5,D5,5,0.0,0,0,0,1616.4,1626.0,-9.6,-0.0059,[],[],0,{},0,0,0,0,0
36,Ottobre,2,2,1,D1,5,0.0,1,1,1,1641.1,1612.0,29.1,0.018,[],[],0,{},0,0,0,0,0
37,Ottobre,2,2,2,D2,6,0.0,0,1,0,1710.7,1709.0,1.7,0.001,[],[],0,{},0,0,0,0,0
38,Ottobre,2,2,3,D3,3,0.0,0,1,1,1425.2,1467.0,-41.8,-0.0285,[],[],0,{},0,0,0,0,0
39,Ottobre,2,2,4,D4,5,0.0,1,1,0,1583.5,1614.0,-30.5,-0.0189,[],[],0,{},0,0,0,0,0
40,Ottobre,2,2,5,D5,5,0.0,0,1,1,1625.9,1626.0,-0.1,-0.0001,[],[],0,{},0,0,0,0,0
41,Ottobre,2,3,1,D1,5,0.0,1,1,0,1613.9,1612.0,1.9,0.0012,[],[],0,{},0,0,0,0,0
42,Ottobre,2,3,2,D2,6,0.0,0,0,0,1727.1,1709.0,18.1,0.0106,[],[],0,{},0,0,0,0,0
43,Ottobre,2,3,3,D3,3,0.0,1,1,1,1440.4,1467.0,-26.6,-0.0181,[],[],0,{},0,0,0,0,0
44,Ottobre,2,3,4,D4,5,0.0,0,1,0,1611.4,1614.0,-2.6,-0.0016,[],[],0,{},0,0,0,0,0
45,Ottobre,2,3,5,D5,5,1.6,0,1,1,1657.2,1626.0,31.2,0.0192,[],[],0,{},0,0,0,0,0
46,Ottobre,2,4,1,D1,5,0.0,1,1,0,1537.2,1612.0,-74.8,-0.0464,[],[],0,{},0,0,0,0,0
47,Ottobre,2,4,2,D2,6,0.0,0,1,1,1699.8,1709.0,-9.2,-0.0054,[],[],0,{},0,0,0,0,0
48,Ottobre,2,4,3,D3,3,0.0,1,1,0,1411.0,1467.0,-56.0,-0.0382,[],[],0,{},0,0,0,0,0
49,Ottobre,2,4,4,D4,5,0.0,0,0,0,1601.5,1614.0,-12.5,-0.0077,[],[],0,{},0,0,0,0,0
50,Ottobre,2,4,5,D5,5,0.0,1,1,1,1617.0,1626.0,-9.0,-0.0055,[],[],0,{},0,0,0,0,0
51,Ottobre,2,5,1,D1,5,0.0,0,1,0,1624.1,1612.0,12.1,0.0075,[],[],0,{},0,0,0,0,0
52,Ottobre,2,5,2,D2,6,0.0,0,1,1,1754.9,1709.0,45.9,0.0268,[],[],0,{},0,0,0,0,0
53,Ottobre,2,5,3,D3,3,0.0,1,1,0,1497.7,1467.0,30.7,0.0209,[],[],0,{},0,0,0,0,0
54,Ottobre,2,5,4,D4,5,0.0,0,1,1,1645.0,1614.0,31.0,0.0192,[],[],0,{},0,0,0,0,0
55,Ottobre,2,5,5,D5,5,0.0,1,2,0,1637.7,1626.0,11.7,0.0072,[],[],0,{},0,0,0,0,0
56,Ottobre,2,6,1,D1,5,1.0,0,0,0,1638.9,1612.0,26.9,0.0167,[],[],0,{},0,0,0,0,0
57,Ottobre,2,6,2,D2,6,0.0,1,1,1,1707.8,1709.0,-1.2,-0.0007,[],[],0,{},0,0,0,0,0
58,Ottobre,2,6,3,D3,3,0.0,0,1,0,1463.8,1467.0,-3.2,-0.0022,[],[],0,{},0,0,0,0,0
59,Ottobre,2,6,4,D4,5,0.0,0,1,1,1606.2,1614.0,-7.8,-0.0049,[],[],0,{},0,0,0,0,0
60,Ottobre,2,6,5,D5,5,0.0,1,1,0,1593.4,1626.0,-32.6,-0.02,[],[],0,{},0,0,0,0,0
61,Novembre,3,1,1,D1,5,0.0,0,1,1,1613.8,1612.0,1.8,0.0011,[],[],0,{},0,0,0,0,0
62,Novembre,3,1,2,D2,6,0.0,1,1,0,1719.1,1709.0,10.1,0.0059,[],[],0,{},0,0,0,0,0
63,Novembre,3,1,3,D3,3,1.6,0,0,0,1442.2,1467.0,-24.8,-0.0169,[],[],0,{},0,0,0,0,0
64,Novembre,3,1,4,D4,5,0.0,1,1,1,1615.1,1614.0,1.1,0.0007,[],[],0,{},0,0,0,0,0
65,Novembre,3,1,5,D5,5,1.0,0,1,0,1625.8,1626.0,-0.2,-0.0001,[],[],0,{},0,0,0,0,0
66,Novembre,3,2,1,D1,5,0.0,0,1,1,1604.1,1612.0,-7.9,-0.0049,[],[],0,{},0,0,0,0,0
67,Novembre,3,2,2,D2,6,1.6,1,0,0,1705.5,1709.0,-3.5,-0.002,[],[],0,{},0,0,0,0,0
68,Novembre,3,2,3,D3,3,0.0,0,1,1,1437.9,1467.0,-29.1,-0.0198,[],[],0,{},0,0,0,0,0
