giorno,mese,turno,pasto,nome_ricetta,kcal,ingredienti_principali,uova_albume,latticini_conteggiati,tipo_latticino,avocado,proteine_g,fibre_g,modificato_vs_c1
1,Settembre,D1,Colazione,Ricotta con gallette abbondanti,317.9,ricotta vaccina | gallette di riso,NO,SI,ricotta,NO,13.8,1.4,SI
1,Settembre,D1,Spuntino,Patata dolce e semi di zucca,156.5,patata dolce | semi di zucca,NO,NO,,NO,4.5,4.4,NO
1,Settembre,D1,Pranzo,Pasta e cannellini con spinaci,420.5,spinaci | cannellini cotti e sgocciolati | pasta secca,NO,NO,,NO,18.6,9.7,NO
1,Settembre,D1,Spuntino,Crackers con lupini,172.9,lupini scolati | crackers classici,NO,NO,,NO,10.8,2.3,NO
1,Settembre,D1,Cena,Farro con coniglio e barbabietola,524.2,barbabietola | coniglio disossato | farro secco,NO,NO,,NO,39.5,8.8,NO
2,Settembre,D2,Colazione,"Uova strapazzate, pane bianco e frutta",361.5,mela | uovo | spinaci ben cotti,SI,NO,,NO,19.6,6.2,NO
2,Settembre,D2,Pranzo,Curry bianco molto delicato di pollo e zucca,435.3,zucca | petto di pollo | riso integrale secco,NO,NO,,NO,32.7,2.8,NO
2,Settembre,D2,Pasto preturno,Coniglio con patate e spinaci,449.5,patate | spinaci | coniglio disossato,NO,NO,,NO,36.9,8.8,NO
2,Settembre,D2,Spuntino notturno,Avocado al naturale,178.5,avocado fresco,NO,NO,,SI,3.3,2.5,SI
2,Settembre,D2,Spuntino notturno,Frutta e mandorle,120.4,pera | mandorle,NO,NO,,NO,2.2,5.0,NO
2,Settembre,D2,Mini-pasto pre-sonno,Mini panino con tacchino e spinaci,177.3,spinaci | pane bianco comune | fesa di tacchino a fette,NO,NO,,NO,13.9,2.8,NO
3,Settembre,D3,Brunch,Riso basmati con ceci e carote,490.1,carote | ceci cotti e sgocciolati | riso basmati secco,NO,NO,,NO,13.8,11.5,NO
3,Settembre,D3,Spuntino,Fette integrali con burro di arachidi e confettura,284.1,fette biscottate integrali | confettura di frutta | burro di arachidi 100%,NO,NO,,NO,7.9,3.6,NO
3,Settembre,D3,Cena,"Brunch completo con farro, tonno e fagiolini",692.0,tonno al naturale sgocciolato | fagiolini | farro secco,NO,NO,,NO,56.9,11.4,NO
4,Settembre,D4,Colazione,French toast delicato con frutta,374.3,fichi freschi | latte parzialmente scremato | pane bianco comune,SI,NO,,NO,15.0,5.1,NO
4,Settembre,D4,Spuntino,Crackers con borlotti,183.7,borlotti cotti e sgocciolati | crackers classici,NO,NO,,NO,7.7,4.3,NO
4,Settembre,D4,Pranzo,Pasta con gamberi e zucchine,435.2,zucchine | gamberi | pasta secca,NO,NO,,NO,34.7,3.7,NO
4,Settembre,D4,Spuntino,Ricotta semplice,182.5,ricotta vaccina,NO,SI,ricotta,NO,11.0,0.0,SI
4,Settembre,D4,Cena,Manzo magro con polenta e zucchine,434.5,zucchine | manzo magro | farina di mais per polenta,NO,NO,,NO,32.2,3.4,NO
