start_day,end_day,dairy_portions,distinct_dairy_types,dairy_types,avocado_portions,avocado_total_g,status
1,7,3,2,"grana,ricotta",2,150.0,OK
2,8,3,3,"grana,ricotta,robiola",2,150.0,OK
3,9,3,3,"grana,ricotta,robiola",2,150.0,OK
4,10,3,3,"grana,ricotta,robiola",2,150.0,OK
5,11,3,2,"grana,robiola",2,150.0,OK
6,12,3,2,"grana,robiola",2,150.0,OK
7,13,3,2,"grana,robiola",2,150.0,OK
8,14,3,2,"grana,robiola",2,150.0,OK
9,15,3,3,"grana,mozzarella,robiola",2,150.0,OK
10,16,3,3,"grana,mozzarella,robiola",2,150.0,OK
11,17,3,3,"grana,mozzarella,robiola",2,150.0,OK
12,18,3,2,"grana,mozzarella",2,150.0,OK
13,19,3,2,"grana,mozzarella",2,150.0,OK
14,20,3,2,"grana,mozzarella",2,150.0,OK
15,21,3,2,"grana,mozzarella",2,150.0,OK
16,22,3,3,"feta,grana,mozzarella",2,150.0,OK
17,23,3,3,"feta,grana,mozzarella",2,150.0,OK
18,24,3,3,"feta,grana,mozzarella",2,150.0,OK
19,25,3,2,"feta,grana",2,150.0,OK
20,26,3,2,"feta,grana",2,150.0,OK
21,27,3,2,"feta,grana",2,150.0,OK
22,28,3,2,"feta,grana",2,150.0,OK
23,29,3,3,"feta,fiocchi_latte,grana",2,150.0,OK
24,30,3,3,"feta,fiocchi_latte,grana",2,150.0,OK
25,31,3,3,"feta,fiocchi_latte,grana",2,150.0,OK
26,32,3,2,"fiocchi_latte,grana",2,150.0,OK
27,33,3,2,"fiocchi_latte,grana",2,150.0,OK
28,34,3,2,"fiocchi_latte,grana",2,150.0,OK
29,35,3,2,"fiocchi_latte,grana",2,150.0,OK
30,36,3,3,"fiocchi_latte,grana,primosale",2,150.0,OK
31,37,3,3,"fiocchi_latte,grana,primosale",2,150.0,OK
32,38,3,3,"fiocchi_latte,grana,primosale",2,150.0,OK
33,39,3,2,"grana,primosale",2,150.0,OK
34,40,3,2,"grana,primosale",2,150.0,OK
35,41,3,2,"grana,primosale",2,150.0,OK
36,42,3,2,"grana,primosale",2,150.0,OK
37,43,3,2,"grana,primosale",2,150.0,OK
38,44,3,2,"grana,primosale",2,150.0,OK
39,45,3,2,"grana,primosale",2,150.0,OK
40,46,3,2,"grana,primosale",2,150.0,OK
41,47,3,2,"grana,primosale",2,150.0,OK
42,48,3,2,"grana,primosale",2,150.0,OK
43,49,3,2,"grana,primosale",2,150.0,OK
44,50,3,3,"grana,primosale,robiola",2,150.0,OK
45,51,3,3,"grana,primosale,robiola",2,150.0,OK
46,52,3,3,"grana,primosale,robiola",2,150.0,OK
47,53,3,2,"grana,robiola",2,150.0,OK
48,54,3,2,"grana,robiola",2,150.0,OK
49,55,3,2,"grana,robiola",2,150.0,OK
50,56,3,2,"grana,robiola",2,150.0,OK
51,57,3,3,"grana,mozzarella,robiola",2,150.0,OK
52,58,3,3,"grana,mozzarella,robiola",2,150.0,OK
53,59,3,3,"grana,mozzarella,robiola",2,150.0,OK
54,60,3,2,"grana,mozzarella",2,150.0,OK
55,61,3,2,"grana,mozzarella",2,150.0,OK
56,62,3,2,"grana,mozzarella",2,150.0,OK
57,63,3,2,"grana,mozzarella",2,150.0,OK
58,64,3,3,"feta,grana,mozzarella",2,150.0,OK
59,65,3,3,"feta,grana,mozzarella",2,150.0,OK
60,66,3,3,"feta,grana,mozzarella",2,150.0,OK
61,67,3,2,"feta,grana",2,150.0,OK
62,68,3,2,"feta,grana",2,150.0,OK
63,69,3,2,"feta,grana",2,150.0,OK
64,70,3,2,"feta,grana",2,150.0,OK
65,71,3,3,"feta,fiocchi_latte,grana",2,150.0,OK
66,72,3,3,"feta,fiocchi_latte,grana",2,150.0,OK
67,73,3,3,"feta,fiocchi_latte,grana",2,150.0,OK
68,74,3,2,"fiocchi_latte,grana",2,150.0,OK
69,75,3,2,"fiocchi_latte,grana",2,150.0,OK
70,76,3,2,"fiocchi_latte,grana",2,150.0,OK
71,77,3,2,"fiocchi_latte,grana",2,150.0,OK
72,78,3,3,"fiocchi_latte,grana,ricotta",2,150.0,OK
73,79,3,3,"fiocchi_latte,grana,ricotta",2,150.0,OK
74,80,3,3,"fiocchi_latte,grana,ricotta",2,150.0,OK
75,81,3,2,"grana,ricotta",2,150.0,OK
76,82,3,2,"grana,ricotta",2,150.0,OK
77,83,3,2,"grana,ricotta",2,150.0,OK
78,84,3,2,"grana,ricotta",2,150.0,OK
79,85,3,2,"grana,ricotta",2,150.0,OK
80,86,3,2,"grana,ricotta",2,150.0,OK
81,87,3,2,"grana,ricotta",2,150.0,OK
82,88,3,2,"grana,ricotta",2,150.0,OK
83,89,3,2,"grana,ricotta",2,150.0,OK
84,90,3,2,"grana,ricotta",2,150.0,OK
85,91,3,2,"grana,ricotta",2,150.0,OK
86,92,3,3,"grana,ricotta,robiola",2,150.0,OK
87,93,3,3,"grana,ricotta,robiola",2,150.0,OK
88,94,3,3,"grana,ricotta,robiola",2,150.0,OK
89,95,3,2,"grana,robiola",2,150.0,OK
90,96,3,2,"grana,robiola",2,150.0,OK
91,97,3,2,"grana,robiola",2,150.0,OK
92,98,3,2,"grana,robiola",2,150.0,OK
93,99,3,3,"grana,mozzarella,robiola",2,150.0,OK
94,100,3,3,"grana,mozzarella,robiola",2,150.0,OK
95,101,3,3,"grana,mozzarella,robiola",2,150.0,OK
96,102,3,2,"grana,mozzarella",2,150.0,OK
97,103,3,2,"grana,mozzarella",2,150.0,OK
98,104,3,2,"grana,mozzarella",2,150.0,OK
