code,name,category,classId,primaryRole,energyKcal,proteinG,carbohydrateG,fatG,fiberG,basisUnit
albume,albume,latticini-e-uova,egg,protein,46,10.9,0.7,0.2,0,g
arancia,arancia,ortofrutta,fruit,produce,47,0.9,12,0.1,2.4,g
avocado,avocado fresco,ortofrutta,culinary-fat-fruit,fat,238,4.4,1.8,23,3.3,g
banana,banana,ortofrutta,fruit,produce,89,1.1,22.8,0.3,2.6,g
barbabietola,barbabietola,ortofrutta,root-bulb-vegetable,produce,43,1.6,10,0.2,2.8,g
bietola,bietole,ortofrutta,leafy-vegetable,produce,19,1.8,3.7,0.2,1.6,g
borlotti,borlotti cotti e sgocciolati,legumi-e-conserve,legume,protein,127,9,22.8,0.5,6,g
branzino,branzino,pesce,lean-white-fish,protein,97,18,0,2.5,0,g
bresaola,bresaola,carne-e-affettati,cold-cut,protein,151,32,0,2.6,0,g
broccoli,broccoli,ortofrutta,cruciferous-vegetable,produce,34,2.8,6.6,0.4,2.6,g
burro_arachidi,burro di arachidi 100%,frutta-secca-e-semi,spread,fat,588,25,20,50,6,g
cachi,cachi,ortofrutta,fruit,produce,70,0.6,18.6,0.2,3.6,g
calamaro,calamaro,pesce,seafood,protein,92,16,3,1.4,0,g
cannellini,cannellini cotti e sgocciolati,legumi-e-conserve,legume,protein,127,8.7,22.8,0.5,6.4,g
carciofo,carciofi,ortofrutta,other-vegetable,produce,47,3.3,10.5,0.2,5.4,g
carota,carote,ortofrutta,root-bulb-vegetable,produce,41,0.9,9.6,0.2,2.8,g
castagna,castagne arrostite,frutta-secca-e-semi,nuts-seeds,fat,200,3,44,1.5,5,g
cavoletti,cavoletti di Bruxelles,ortofrutta,cruciferous-vegetable,produce,43,3.4,9,0.3,3.8,g
cavolfiore,cavolfiore,ortofrutta,cruciferous-vegetable,produce,25,1.9,5,0.3,2,g
cavolo_cappuccio,cavolo cappuccio,ortofrutta,cruciferous-vegetable,produce,25,1.3,5.8,0.1,2.5,g
cavolo_nero,cavolo nero,ortofrutta,leafy-vegetable,produce,49,4.3,8.8,0.9,3.6,g
ceci,ceci cotti e sgocciolati,legumi-e-conserve,legume,protein,164,8.9,27,2.6,7.6,g
cetriolo,cetriolo senza buccia e semi,ortofrutta,summer-fruit-vegetable,produce,15,0.7,3.6,0.1,0.5,g
melagrana,chicchi di melagrana,ortofrutta,fruit,produce,83,1.7,18.7,1.2,4,g
cicoria,cicoria,ortofrutta,leafy-vegetable,produce,23,1.7,4.7,0.3,4,g
cipolla,cipolla,ortofrutta,root-bulb-vegetable,produce,40,1.1,9.3,0.1,1.7,g
marmellata,confettura di frutta,condimenti-e-dispensa,sweetener,condiment,250,0.3,62,0.1,1,g
coniglio,coniglio disossato,carne-e-affettati,fresh-rabbit,protein,136,21,0,5,0,g
couscous,couscous di semola secco,cereali-pane-e-derivati,dry-grain,carbohydrate,360,12,72,1.5,3,g
couscous_integrale,couscous integrale secco,cereali-pane-e-derivati,dry-grain,carbohydrate,350,13,67,2.5,8,g
cozze,"cozze, parte edibile",pesce,seafood,protein,86,12,3.7,2.2,0,g
crackers,crackers classici,cereali-pane-e-derivati,cracker-rusk,carbohydrate,430,9,72,12,3,g
crackers_integrali,crackers integrali,cereali-pane-e-derivati,cracker-rusk,carbohydrate,430,10,68,13,6,g
fagiolini,fagiolini,ortofrutta,other-vegetable,produce,31,1.8,7,0.2,3.4,g
farina00,farina di frumento 00,cereali-pane-e-derivati,flour-breading,carbohydrate,364,10.3,76.3,1,2.7,g
polenta,farina di mais per polenta,cereali-pane-e-derivati,dry-grain,carbohydrate,360,8,78,1.5,3.5,g
farro,farro secco,cereali-pane-e-derivati,dry-grain,carbohydrate,340,15,67,2.5,7,g
fave,fave cotte,legumi-e-conserve,legume,protein,110,7.6,19.7,0.4,5.4,g
tacchino_affettato,fesa di tacchino a fette,carne-e-affettati,cold-cut,protein,105,20,2,1.5,0,g
