recipeVersionId,recipeId,primaryProtein,primaryCarb,eggEquivalentUnits,dairyOccurrence,dairyCodes,plantProteinMain,pastaRicePrimary,avocadoG,ingredientCodes
base:recipe-version:banana-e-latte:a4b16218d9a8fc6e,base:recipe:banana-e-latte,milk_yogurt,,0,false,,false,false,0,banana|latte_ps
base:recipe-version:bowl-coreana-delicata-con-manzo-riso-e-broccoli:8f339ab02fbaac9b,base:recipe:bowl-coreana-delicata-con-manzo-riso-e-broccoli,red_meat,rice,0,false,,false,true,0,riso_jasmine|manzo_magro|broccoli|carciofo|salsa_soia|sesamo
base:recipe-version:branzino-con-polenta-e-finocchi:d61134f849a13e58,base:recipe:branzino-con-polenta-e-finocchi,fish,other_grains,0,false,,false,false,0,branzino|polenta|finocchio|olio
base:recipe-version:branzino-con-polenta-e-zucchine:05d43f46b0cd324d,base:recipe:branzino-con-polenta-e-zucchine,fish,other_grains,0,false,,false,false,0,branzino|polenta|zucchina|olio
base:recipe-version:brunch-couscous-marocchino-delicato-con-tacchino-e-finocchi:eebf147165557e2b,base:recipe:brunch-couscous-marocchino-delicato-con-tacchino-e-finocchi,poultry,other_grains,0,false,,false,false,0,couscous|tacchino|finocchio|cavolfiore|olio|kiwi
base:recipe-version:brunch-kofte-di-tacchino-delicati-con-riso-e-radicchio:1d80294769500be2,base:recipe:brunch-kofte-di-tacchino-delicati-con-riso-e-radicchio,poultry,rice,0,false,,false,true,0,tacchino|pangrattato|riso_integrale|radicchio|yogurt_bianco|olio|mela
base:recipe-version:brunch-noodles-di-riso-con-pollo-e-finocchi:77a636a09e897fa8,base:recipe:brunch-noodles-di-riso-con-pollo-e-finocchi,poultry,other_grains,1.6,false,,false,false,0,noodles_riso|pollo|finocchio|cavolfiore|salsa_soia|olio|mandarino|albume
base:recipe-version:brunch-riso-teriyaki-delicato-con-tacchino-e-carciofi:dd1df9125ddfa6b3,base:recipe:brunch-riso-teriyaki-delicato-con-tacchino-e-carciofi,poultry,rice,0,false,,false,true,0,riso_jasmine|tacchino|carciofo|bietola|salsa_soia|olio|pompelmo
base:recipe-version:brunch-salmone-nordico-con-patate-e-cavolfiore:231333569dcf995f,base:recipe:brunch-salmone-nordico-con-patate-e-cavolfiore,fish,potato,1.6,false,,false,false,0,salmone|patata|cavolfiore|yogurt_bianco|olio|arancia|albume
base:recipe-version:budino-di-riso-casalingo-e-frutta:6cc1d24620d4f701,base:recipe:budino-di-riso-casalingo-e-frutta,milk_yogurt,rice,0,false,,false,true,0,riso_basmati|latte_ps|mela|miele
base:recipe-version:budino-di-riso-casalingo-e-frutta:98e1bee3bc26258f,base:recipe:budino-di-riso-casalingo-e-frutta,milk_yogurt,rice,0,false,,false,true,0,riso_basmati|latte_ps|pera|miele
base:recipe-version:colazione-leggera-con-latte-e-fette-classiche:f712e5d2a6856be0,base:recipe:colazione-leggera-con-latte-e-fette-classiche,milk_yogurt,crackers_rusks_cakes,0,false,,false,false,0,latte_ps|fette_bianche|marmellata|pompelmo
base:recipe-version:coniglio-con-patate-e-pomodori:1a88a8e3425ae336,base:recipe:coniglio-con-patate-e-pomodori,red_meat,potato,0,false,,false,false,0,coniglio|patata|pomodoro|olio
base:recipe-version:coniglio-con-patate-e-spinaci:b4d852f99e5bbb06,base:recipe:coniglio-con-patate-e-spinaci,red_meat,potato,0,false,,false,false,0,coniglio|patata|spinaci|olio
base:recipe-version:coniglio-con-riso-basmati-e-bietole:ec8c162e6190703b,base:recipe:coniglio-con-riso-basmati-e-bietole,red_meat,rice,0,false,,false,true,0,coniglio|riso_basmati|bietola|olio
base:recipe-version:coniglio-con-riso-basmati-e-finocchi:de5a0b4b500d43f8,base:recipe:coniglio-con-riso-basmati-e-finocchi,red_meat,rice,0,false,,false,true,0,coniglio|riso_basmati|finocchio|olio
base:recipe-version:coniglio-con-riso-basmati-e-finocchi:f0e99e714647d716,base:recipe:coniglio-con-riso-basmati-e-finocchi,red_meat,rice,0,false,,false,true,0,coniglio|riso_basmati|finocchio|olio
