targetKcal,dayIndex,dayType,resultKcal,lowerKcal,upperKcal,deltaPct,skippedOptionalSlots,performanceMs,status
800,3,D3,798.13,760,840,-0.23,0,192,ok
1000,1,D1,1047.7,950,1050,4.77,1,212,ok
1200,3,D3,1199.36,1140,1260,-0.05,0,316,ok
1400,1,D1,1405.33,1330,1470,0.38,0,375,ok
1600,1,D1,1567.46,1520,1680,-2.03,0,367,ok
1800,4,D4,1748.56,1710,1890,-2.86,0,483,ok
2000,1,D1,2001,1900,2100,0.05,0,229,ok
2200,4,D4,2116.74,2090,2310,-3.78,0,237,ok
2400,4,D4,2285.46,2280,2520,-4.77,0,169,ok
2600,4,D4,2475.69,2470,2730,-4.78,0,100,ok
